,Ticker,Description,Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Free Cash Flow (Quarterly YoY Growth),3-Month Performance,Basic EPS (FY),EPS Diluted (TTM),EBITDA (TTM),Gross Profit (MRQ),Gross Profit (FY),Total Revenue (FY),EPS Diluted (FY),Last Year Revenue (FY),Net Income (FY),Current Ratio (MRQ),Debt to Equity Ratio (MRQ),Net Debt (MRQ),Quick Ratio (MRQ),Total Assets (MRQ),Total Debt (MRQ),Total Current Assets (MRQ),Dividend Yield Forward,Dividends Paid (FY),Dividends per Share (FY),Gross Margin (TTM),Operating Margin (TTM),Pretax Margin (TTM),Net Margin (TTM),6-Month Performance,YTD Performance,Yearly Performance,1-Year Beta,Volatility,Price to Revenue Ratio (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),Total Shares Outstanding
22,KO,Coca-Cola Company (The),60.64,262238516338.7799,26.51558322,2.2937,79000.0,Consumer Non-Durables,29.89500404,29.07090843,-5.68844807,1.01615859,2.2644,2.2813,12270000000.0,6568000000.0,23218000000.0,38726000000.0,2.2514,38726000000.0,9771000000.0,1.12593871,1.62002783,26367000000.0,0.95298288,92471000000.0,39587000000.0,24139000000.0,2.9095716,-7252000000.0,1.68,58.5386536,23.23691525,28.60978942,23.37824469,-4.5790716,-4.59408433,2.10473144,0.6406932,1.17433014,6.19233853,23.60129089,271461000000.0,4324510000.0
23,ABBV,AbbVie Inc.,145.65,257579178123.98483,19.49594168,7.5334,50000.0,Health Technology,30.97081596,39.13020268,-3.79632029,-0.68866767,6.4791,7.5031,29992000000.0,10605000000.0,39053000000.0,56197000000.0,6.4536,56197000000.0,11468000000.0,0.92822206,4.34304611,57727000000.0,0.83125459,141325000000.0,69606000000.0,30364000000.0,4.0470333,-9261000000.0,5.31,71.20323769,37.66236012,25.56771995,23.06335288,2.77307367,-10.11478647,7.10346349,0.47329116,1.28046262,4.49321642,10.5512577,296117000000.0,1768480000.0
24,PFE,"Pfizer, Inc.",43.55,244459849544.08652,8.4325053,5.3098,79000.0,Health Technology,145.29030139,36.74466096,-10.87808702,-9.27083333,3.9539,5.193,40791000000.0,15649000000.0,46875000000.0,81288000000.0,3.8798,81288000000.0,22147000000.0,1.58873042,0.39475299,546000000.0,1.37405786,195350000000.0,36669000000.0,70403000000.0,3.7451472,-8729000000.0,1.57,62.42353247,36.01257522,33.3653721,29.99028825,-12.53263708,-14.62458342,-19.00688116,0.612419,1.70526558,2.5069456,6.04574649,251025000000.0,5613310000.0
25,AVGO,Broadcom Inc.,581.45,242979891457.618,22.54508139,27.4455,20000.0,Electronic Technology,22.45326927,49.12809084,29.19200695,22.20599208,27.4401,26.2137,19319000000.0,5572000000.0,20588000000.0,33203000000.0,26.5319,33203000000.0,11495000000.0,2.62393647,1.7604474,27562000000.0,2.35096427,73249000000.0,39978000000.0,18504000000.0,3.11342,-7032000000.0,16.4,62.01548053,43.1738096,37.44842334,34.62036563,8.62336304,2.91150442,7.01008539,1.0961082,1.93700842,7.63589766,14.21028651,230436000000.0,417886000.0
26,ORCL,Oracle Corporation,87.35,235517687754.46176,27.78679823,3.2868,143000.0,Technology Services,-63.43804538,11.84731385,65.57412633,11.13231552,2.4878,3.2026,18993000000.0,8010000000.0,32413000000.0,42440000000.0,2.411,42440000000.0,6717000000.0,0.64786394,-24.078125,83569000000.0,0.64786394,128469000000.0,90919000000.0,17561000000.0,1.4383639,-3457000000.0,1.28,70.95478914,31.30466868,22.65752176,19.09361231,13.85557873,5.91730326,9.20115014,0.9871757,2.29911484,5.30389903,17.05778668,312039000000.0,2696250000.0
27,PEP,"PepsiCo, Inc.",169.48,233494153327.5599,24.26192928,7.0288,309000.0,Consumer Non-Durables,9.69715989,8.79725172,1.35419801,-6.33359125,5.5123,6.9912,14321999980.0,11720000000.0,42536000000.0,79468000000.0,5.4845,79468000000.0,7618000000.0,0.91774841,2.05095375,32503000000.0,0.72209878,94461000000.0,39245000000.0,23543000000.0,2.7119443,-5815000000.0,4.2475,53.39676999,13.89191061,14.09034942,11.61225539,-3.19853781,-6.15205715,0.57563349,0.5438876,1.36868866,2.81236704,18.59712561,269366000000.0,1377710000.0
28,COST,Costco Wholesale Corporation,503.28,223319952236.5804,38.04070958,13.2594,304000.0,Retail Trade,-34.80446927,1.54260335,-29.50522015,-0.08338297,13.1725,13.2303,10182000000.0,6668000000.0,27572000000.0,226954000000.0,13.1398,226954000000.0,5844000000.0,1.03275169,0.42121438,-2627000000.0,0.47113436,66027000000.0,9046000000.0,34150000000.0,0.71529335,-1498000000.0,3.38,12.04572606,3.39828938,3.42555881,2.54687743,-7.65504587,9.88646288,4.03935999,1.0793738,1.04522653,0.96840213,21.67574048,230166000000.0,443729000.0
29,TMO,Thermo Fisher Scientific Inc,564.29,221312032540.7921,32.25975165,17.9173,130000.0,Health Technology,-0.38151137,17.31401903,-34.61900282,9.2442018,19.6066,17.7816,12435000000.0,4321000000.0,19634000000.0,39211000000.0,19.4584,39211000000.0,7725000000.0,1.73583378,0.66686487,26227000000.0,1.22117287,90536000000.0,29160000000.0,19299000000.0,0.2091941,-395000000.0,1.04,43.74533022,20.87305001,17.93194014,15.92138927,-4.41271132,1.9881075,1.75087454,0.9687682,2.29509951,5.13016166,20.21553189,226745000000.0,392196000.0
30,MCD,McDonald's Corporation,270.89,198406301112.08243,34.32177769,7.993,200000.0,Consumer Services,53.565868,30.57972949,-10.09308699,-1.02305528,10.1101,7.9384,12061100000.0,3410200000.0,12510900000.0,23222900000.0,10.0362,23222900000.0,7545200000.0,1.6467686,-7.20171484,44459600000.0,1.63431915,48501600000.0,47287900000.0,5740800000.0,2.2315202,-3918600000.0,5.25,55.36767361,43.72195382,32.64231556,25.41478259,3.76939284,2.79285091,8.356,0.6566887,0.92942309,8.660324,20.23163779,215092000000.0,732424000.0
31,CSCO,"Cisco Systems, Inc.",48.22,198092721124.29227,17.53732692,2.7758,83300.0,Electronic Technology,-13.63636364,24.72797098,14.55370651,5.79201404,2.8326,2.7661,16030000000.0,8372000000.0,31935000000.0,51557000000.0,2.8178,51557000000.0,11812000000.0,1.45167898,0.2446613,-9931000000.0,1.34467384,93054000000.0,9853000000.0,36141000000.0,3.1333747,-6224000000.0,1.5,62.04364207,27.13955134,27.33844594,21.99697833,7.39420935,0.7521939,-11.52293578,0.7610624,0.81047382,3.81853086,11.81241865,177923000000.0,4108100000.000001
33,NKE,"Nike, Inc.",126.37,195957631666.30032,36.01423287,3.59,79100.0,Consumer Non-Durables,-25.69607514,9.46743033,-70.33734005,32.06186644,3.8295,3.5411,6766000000.0,5534000000.0,21584000000.0,46792000000.0,3.7534,46792000000.0,6046000000.0,2.69114619,0.82012834,1904000000.0,1.77674282,39647000000.0,12525000000.0,27447000000.0,1.0664158,-1837000000.0,1.19,43.91797042,12.33902305,13.26877301,11.46216915,11.41773938,6.59637284,-12.31612545,1.1975579,1.07365001,4.0796731,29.50937096,174381000000.0,1550670000.0
37,ACN,Accenture plc,274.32,180609123083.0864,25.18232596,11.1543,721000.0,Technology Services,5.09963293,14.32458894,13.56471936,-4.43809657,10.8685,11.0105,11486213000.0,5183536000.0,19793814000.0,61594305000.0,10.7096,61594305000.0,6877169000.0,1.25590225,0.13944283,-2603751000.0,1.25590225,47115774000.0,3300047000.0,20672460000.0,1.6157537,-2454684000.0,3.88,32.11575063,15.37093652,15.05628665,11.3040066,-9.18961864,1.90193165,-17.84366577,1.2822845,1.51476346,2.83936398,15.72658953,190312000000.0,658389000.0
39,VZ,Verizon Communications Inc.,41.05,172402500975.09103,8.04306523,5.0584,117100.0,Communications,-27.00358386,10.27076406,-14.65163934,8.08320169,5.0585,5.0528,47566000000.0,15271000000.0,60603000000.0,136835000000.0,5.0585,136835000000.0,21256000000.0,0.75455941,1.9070439,173726000000.0,0.70696219,379680000000.0,176331000000.0,37857000000.0,6.422244,-10805000000.0,2.585,44.28910732,22.26550225,20.66064969,15.53403734,-9.7008359,3.21850641,-20.19828927,0.3764665,1.52334152,1.24947915,7.26833402,340801000000.0,4199819999.999999
44,PM,Philip Morris International Inc,103.83,160957505060.16934,18.4817071,5.6197,69600.0,Consumer Non-Durables,21.81324647,35.79085051,-24.26035503,12.540646,5.8299,5.6142,13118000000.0,5027000000.0,21220000000.0,31346000000.0,5.8262,31346000000.0,9083000000.0,0.91637782,-3.67702283,21847000000.0,0.57202003,40717000000.0,27221000000.0,19035000000.0,4.8959136,-7580000000.0,4.9,64.75867318,37.86706412,36.96327773,27.65269233,5.19756839,2.28548911,1.79411765,0.73586494,1.29782082,5.10672671,14.05930713,152413000000.0,1550200000.0
45,LIN,Linde plc,325.03,160688180321.61148,42.95371265,7.6247,72327.0,Process Industries,64.78034252,21.56009483,3.25068871,6.91072956,7.4019,7.5593,10538000000.0,2467000000.0,8615000000.0,30793000000.0,7.3313,30793000000.0,3826000000.0,0.74384171,0.39389815,11582000000.0,0.62067592,74323000000.0,15338000000.0,11203000000.0,1.4413303,-2189000000.0,4.24,27.92998253,18.23001511,15.35408583,11.38228238,8.38668801,2.31686971,5.74895888,0.8076819,1.34493183,4.81958741,16.45644668,147998000000.0,494380000.0
48,BMY,Bristol-Myers Squibb Company,72.03,153147309603.9884,23.61165428,3.0919,32200.0,Health Technology,14.54996616,32.84251374,-31.14491593,-6.45454545,3.149,3.0684,19945000000.0,6057000000.0,26761000000.0,46385000000.0,3.1154,46385000000.0,6994000000.0,1.4155309,1.22533146,30919000000.0,1.30596936,98196000000.0,40110000000.0,26796000000.0,3.1469982,-4396000000.0,2.01,57.34734049,20.27044375,16.5004921,14.28601994,-1.73260573,0.37625418,13.11243719,0.30607575,1.4329438,3.32968035,9.27662556,183683000000.0,2126159999.9999995
49,UPS,"United Parcel Service, Inc.",176.97,153047355639.05072,14.2684752,12.8308,534000.0,Transportation,114.24608678,11.12402782,-33.98421271,4.74076705,14.7483,12.7617,16807000000.0,5033000000.0,17432000000.0,97204000000.0,14.6811,97204000000.0,12890000000.0,1.39136829,1.40510949,12494000000.0,1.39136829,69544000000.0,23870000000.0,24598000000.0,3.3390083,-3437000000.0,4.08,21.67203848,13.6391134,14.20141816,11.0953538,-9.10164877,1.54932002,-9.61695608,1.00396,3.23147571,1.57467625,10.11419282,153377000000.0,864821000.0
50,COP,ConocoPhillips,120.53,150188958498.7247,8.87320809,13.986,9900.0,Energy Minerals,13316.09195402,25.34306062,78.62660944,-6.37719435,6.1011,13.9307,32774000000.0,8125000000.0,14727000000.0,46056000000.0,6.0829,46056000000.0,8079000000.0,1.46124169,0.34558569,6539000000.0,1.3736515,94837000000.0,16961000000.0,20453000000.0,1.6503519,-2359000000.0,1.75,38.7669899,33.76372197,36.45276173,24.08664684,26.40797063,3.40597117,36.99704478,0.80073714,2.72583728,2.09281947,4.89918404,136441000000.0,1246070000.0
52,QCOM,QUALCOMM Incorporated,131.63,147557223248.78214,11.72747253,11.5171,51000.0,Electronic Technology,-20.9759482,15.46153846,25.50231839,9.929848,11.5192,11.375,16563000000.0,6528000000.0,25565000000.0,44200000000.0,11.3773,44200000000.0,12936000000.0,1.74650261,0.89707434,9777000000.0,1.15304231,49014000000.0,16159000000.0,20724000000.0,2.2488756,-3212000000.0,2.86,57.84032035,33.48566775,33.92909663,29.3794258,-10.85602059,18.21284239,-18.75192889,1.1721853,2.49711871,3.41942942,9.61893335,147085000000.0,1121000000.0
56,HON,Honeywell International Inc.,205.78,138350479065.71884,26.62428204,7.8904,99000.0,Electronic Technology,-2.99886835,14.95623346,108.45225027,0.6505258,8.0052,7.8173,8171000000.0,3031000000.0,12773000000.0,34387000000.0,7.9126,34387000000.0,5542000000.0,1.24385665,0.97873153,9982000000.0,0.94008504,60287000000.0,17947000000.0,22525000000.0,1.979532,-2626000000.0,3.77,34.05479687,19.97194308,19.99198374,15.38835924,8.6713139,-4.35510109,2.69487973,0.78847903,1.83843198,4.04950465,18.42399173,124085000000.0,672322000.0
57,CAT,"Caterpillar, Inc.",261.5,136087052766.0089,19.22082074,13.8493,107700.0,Producer Manufacturing,12.20322887,9.26957477,61.66522116,19.60847093,11.9283,13.7632,10137000000.0,4654000000.0,14307000000.0,50984000000.0,11.8305,50984000000.0,6489000000.0,1.40974108,2.33804891,30179000000.0,0.8514999,80907000000.0,36525000000.0,42577000000.0,1.8144704,-2332000000.0,4.36,29.07276581,13.9350053,16.27516779,13.01836807,42.64673794,8.65049028,27.19490248,0.9683752,1.41207761,2.46505306,16.5610237,116779000000.0,520409000.0
58,AMGN,Amgen Inc.,251.59,134243178287.49948,20.33168745,12.5397,24200.0,Health Technology,-15.24926686,32.25074075,29.50367647,-6.68026706,10.3386,12.4756,12861000000.0,4995000000.0,19533000000.0,25987000000.0,10.2845,25987000000.0,5893000000.0,1.67901751,10.59512729,27226000000.0,1.34707976,63700000000.0,38704000000.0,24062000000.0,3.3589594,-4013000000.0,7.04,75.62774699,36.21249761,29.53946111,26.12268297,2.29730829,-3.5573274,12.29189913,0.50487477,1.42059058,5.21550545,12.64041298,148491000000.0,533579000.0
61,DE,Deere & Company,420.6,125438582482.99684,17.92794183,23.4613,82200.0,Producer Manufacturing,-82.29692965,1.73490764,10.73401736,5.67839196,23.4187,23.3256,11315000000.0,4716000000.0,15341000000.0,52510000000.0,23.2811,52510000000.0,7131000000.0,1.27284528,2.56427764,46693000000.0,1.01639245,90030000000.0,52201000000.0,42163000000.0,1.1478312,-1313000000.0,4.36,30.76688752,17.93465844,17.37872211,13.57665067,24.72569836,-1.72897196,13.02805547,0.99719495,1.85406699,2.40522767,15.1572999,166676000000.0,298237000.0
63,SBUX,Starbucks Corporation,108.4,124421521461.6401,38.47945786,2.8456,402000.0,Consumer Services,-30.39019843,12.97493197,-34.56880979,23.0978878,2.8454,2.8332,7304300000.0,1597500000.0,6309300000.0,32228300000.0,2.8326,32228300000.0,3281600000.0,0.76692017,-2.73659282,20621900000.0,0.52908717,27978400000.0,23804800000.0,7018700000.0,1.9445972,-2263300000.0,1.96,19.5767048,13.27164803,13.13108747,10.18241845,26.03185676,7.79634049,14.03324216,0.8382205,1.48853576,3.89863349,19.95577365,117739000000.0,1147800000.0
66,LOW,"Lowe's Companies, Inc.",201.91,122095500368.58864,19.84495668,10.2303,340000.0,Retail Trade,-10.77986606,8.58181818,-7.16594828,1.97474747,12.0819,10.2036,12844000000.0,7367000000.0,30394000000.0,96250000000.0,12.03,96250000000.0,8409000000.0,1.19711631,-2.96953684,34556000000.0,0.24784441,46973000000.0,38212000000.0,24991000000.0,2.0741763,-1984000000.0,3.0,31.52168249,10.73859077,9.65785332,6.9429825,6.4757686,0.20844707,-11.43909821,0.97955877,1.6952523,1.30838848,12.22377981,157769000000.0,604703000.0
68,SPGI,S&P Global Inc.,366.14,119288412209.84483,31.21989967,12.0089,22850.0,Commercial Services,2.06244629,42.94323249,-17.3096976,12.56494604,12.5581,11.96,4158000000.0,1569000000.0,5924000000.0,8297000000.0,12.5062,8297000000.0,3024000000.0,0.82765452,0.2845615,10107000000.0,0.82765452,61813000000.0,11496000000.0,4178000000.0,0.96413934,-743000000.0,3.08,60.07162908,32.70738554,48.11731681,33.7818217,-0.77506775,7.04595954,-7.36027123,1.176027,2.2428884,11.95961194,32.46499813,114379000000.0,325800000.0
69,LMT,Lockheed Martin Corporation,460.59,117587386003.58112,21.17445428,21.7908,116000.0,Electronic Technology,-20.35329264,9.29316198,-66.26604753,-5.2342448,21.7368,21.7054,9772000000.0,2383000000.0,10410000000.0,65984000000.0,21.6629,65984000000.0,5732000000.0,1.32126896,1.79646018,14099000000.0,1.1268962,52880000000.0,16646000000.0,20991000000.0,2.610966,-3016000000.0,11.4,12.68186227,12.68186227,10.12366634,8.68695441,7.79834765,-4.71668839,18.37316885,0.6122653,1.54379213,1.79914343,13.45002473,139759000000.0,255297000.0
70,INTU,Intuit Inc.,416.45,116991362322.8282,64.39040741,6.6588,17300.0,Technology Services,17.29865246,29.41222694,122.31404959,-3.9286703,7.3786,6.5634,3433000000.0,1800000000.0,9904000000.0,12726000000.0,7.2746,12726000000.0,2066000000.0,1.36962406,0.47308147,4877000000.0,1.36962406,27085000000.0,7601000000.0,4554000000.0,0.73825186,-774000000.0,2.72,76.35175728,18.80444578,17.54280565,14.10333433,-7.75688307,4.97857323,-19.93809597,1.6786664,2.51795071,9.01352358,36.00398245,126287000000.0,280925000.0
73,INTC,Intel Corporation,27.95,115629149373.70564,14.43362378,1.965,131900.0,Electronic Technology,-199.53425792,-15.25200622,209.20980926,-2.95138889,1.9508,1.951,15743000000.0,5500000000.0,26681000000.0,63054000000.0,1.9445,63054000000.0,8014000000.0,1.56762556,0.41109153,14122000000.0,1.15636759,182103000000.0,42460000000.0,50407000000.0,5.184659,-5997000000.0,1.46,42.60792337,4.2947315,12.31959907,12.70974086,-22.5547243,3.34627473,-41.41689373,1.0530825,3.03577882,1.84580328,8.41535409,125220000000.0,4137000000.0
74,CVS,CVS Health Corporation,87.05,114380818703.50934,37.23909723,2.3999,300000.0,Retail Trade,17.25498957,5.39332386,73.88560961,-7.99069866,5.997,2.3572,19772000000.0,13485000000.0,51872000000.0,291935000000.0,5.9518,291935000000.0,7910000000.0,0.94381914,1.00085902,50932000000.0,0.69443025,231212000000.0,71072000000.0,68341000000.0,2.7568922,-2625000000.0,2.05,17.16545525,4.90455176,1.29728392,1.00032678,-11.21876594,-5.09158308,-18.39700023,0.5052183,1.60938039,0.36621764,8.42605779,176672000000.0,1313970000.0
77,MDT,Medtronic plc.,82.58,109846271271.00002,25.67067674,3.2316,95000.0,Health Technology,22.37461617,18.86637632,-60.01335113,-5.57969357,3.7537,3.2169,8951000000.0,4648000000.0,19924000000.0,31686000000.0,3.7287,31686000000.0,5040000000.0,1.7558244,0.51130492,15187000000.0,1.40636018,93241000000.0,26617000000.0,25398000000.0,3.2937756,-3383000000.0,2.52,61.95144118,20.29343028,18.27447416,14.02557777,-11.47084048,5.91253046,-20.1739971,0.506676,0.92754089,3.57038951,13.98841149,131008000000.0,1330180000.0
78,GILD,"Gilead Sciences, Inc.",83.35,104541232963.22765,31.6631372,2.6556,14400.0,Health Technology,43.7217345,39.47464562,-13.10211946,6.50396116,4.9562,2.6444,11979000000.0,5599000000.0,20771000000.0,27372000000.0,4.9326,27372000000.0,6225000000.0,1.30039336,1.19784395,18985000000.0,1.1600307,62557000000.0,25223000000.0,13554000000.0,3.4873998,-3605000000.0,2.84,76.41659573,36.52614827,16.81039269,12.33946482,36.93116478,-2.03338035,23.71975657,0.5366536,1.83395866,3.90775121,10.34968242,96752100000.0,1254240000.0
80,EL,"Estee Lauder Companies, Inc. (The)",271.21,96771073225.46786,45.1000966,6.0822,63000.0,Consumer Non-Durables,-33.23313293,11.26959071,-180.41958042,31.71288427,6.6389,6.0042,3982000000.0,2882000000.0,13435000000.0,17738000000.0,6.5497,17738000000.0,2390000000.0,1.68203377,1.18482213,4556000000.0,1.10946689,19989000000.0,7494000000.0,8866000000.0,0.97492516,-840000000.0,2.33,75.19128217,19.02388129,16.0677023,12.6767911,0.61957409,5.86696854,-8.0332316,0.9189102,1.37221269,5.67258903,25.61155501,83390300000.0,356812029.0
83,SYK,Stryker Corporation,249.54,94433404461.1295,39.54476149,6.5003,46000.0,Health Technology,-1.86379928,16.00420856,-6.47571606,16.30855278,5.2891,6.4274,4420000000.0,2643000000.0,10709000000.0,17108000000.0,5.2158,17108000000.0,1994000000.0,2.03850361,0.80325579,11727000000.0,1.18901772,35983000000.0,13224000000.0,9318000000.0,1.1803124,-950000000.0,2.585,60.42455984,19.14976599,14.9264542,13.68954758,16.20564403,0.91802483,3.79336162,1.1118698,1.96573996,5.40684789,24.41460069,89056800000.0,378430000.0
87,AMAT,"Applied Materials, Inc.",108.2,91335923168.82137,15.12605042,7.487,33000.0,Producer Manufacturing,-3.39338081,17.95600545,-32.69639066,19.55801105,7.4914,7.4375,8128000000.0,3062000000.0,11892000000.0,25685000000.0,7.4401,25685000000.0,6525000000.0,2.15815151,0.47802198,3248000000.0,1.35424854,26726000000.0,5829000000.0,15925000000.0,0.92444444,-873000000.0,1.02,46.24489001,29.91629356,29.58536111,25.40393226,2.32646113,8.4494337,-16.51556653,1.6984748,4.20043533,3.76240997,12.08338142,80317500000.0,844140000.0
90,MDLZ,"Mondelez International, Inc.",64.84,88546707172.72313,28.77595483,2.2623,79000.0,Consumer Non-Durables,2.41857465,11.05849582,-55.22174535,5.32813515,3.0649,2.2491,5283000000.0,2621000000.0,10655000000.0,28720000000.0,3.0432,28720000000.0,4300000000.0,0.69199078,0.83190851,19992000000.0,0.45506599,68036000000.0,22187000000.0,9910000000.0,2.3794808,-1826000000.0,1.33,34.8534095,13.74963065,11.74365541,10.29909058,0.24737168,-2.4962406,-0.44526332,0.6312458,1.59913057,2.93013165,20.51937023,95631600000.0,1365620000.0
