,Ticker,Description,Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Free Cash Flow (Quarterly YoY Growth)
77,MDT,Medtronic plc.,82.58,109846271271.00002,25.67067674,3.2316,95000.0,Health Technology,22.37461617,18.86637632,-60.01335113
78,GILD,"Gilead Sciences, Inc.",83.35,104541232963.22765,31.6631372,2.6556,14400.0,Health Technology,43.7217345,39.47464562,-13.10211946
79,C,"Citigroup, Inc.",51.75,100232139027.9117,7.41832122,7.0321,,Finance,,,
80,EL,"Estee Lauder Companies, Inc. (The)",271.21,96771073225.46786,45.1000966,6.0822,63000.0,Consumer Non-Durables,-33.23313293,11.26959071,-180.41958042
81,CI,Cigna Corporation,310.36,94889156526.22733,14.72948956,21.1706,73700.0,Health Services,-34.77744166,3.46408529,66.47823629
82,BKNG,Booking Holdings Inc. Common Stock,2436.98,94528960094.56387,40.46688199,61.2038,20300.0,Consumer Services,1351.74129353,22.96039423,-106.3282795
83,SYK,Stryker Corporation,249.54,94433404461.1295,39.54476149,6.5003,46000.0,Health Technology,-1.86379928,16.00420856,-6.47571606
84,TJX,"TJX Companies, Inc. (The)",81.51,94185142596.12527,28.55299861,,340000.0,Retail Trade,-43.54336551,4.41143933,-11.93224453
85,CB,Chubb Limited,226.07,93830420487.64468,15.84700215,14.4553,31000.0,Finance,17.56453423,30.69222317,1.67926113
86,ADP,"Automatic Data Processing, Inc.",222.35,92236960227.3132,29.34726265,7.566,60000.0,Technology Services,0.35681202,17.72970548,-19.33953312
87,AMAT,"Applied Materials, Inc.",108.2,91335923168.82137,15.12605042,7.487,33000.0,Producer Manufacturing,-3.39338081,17.95600545,-32.69639066
88,PYPL,"PayPal Holdings, Inc.",79.64,90791808853.3076,41.61411717,1.9786,30900.0,Commercial Services,8.90136327,21.25112476,37.32503888
89,NOW,"ServiceNow, Inc.",442.57,89576162438.6989,286.59046905,1.6092,,Technology Services,20.7893274,29.99309869,36.82795699
90,MDLZ,"Mondelez International, Inc.",64.84,88546707172.72313,28.77595483,2.2623,79000.0,Consumer Non-Durables,2.41857465,11.05849582,-55.22174535
91,GE,General Electric Company,80.83,88320365343.26096,,-0.0988,,Producer Manufacturing,,,
92,ADI,"Analog Devices, Inc.",168.93,86035362200.61278,32.41063975,5.3091,24450.0,Electronic Technology,57.90353154,31.43090372,4.30608423
93,ISRG,"Intuitive Surgical, Inc.",242.23,85600338129.91591,67.71278344,3.7169,,Health Technology,,,
94,MMC,"Marsh & McLennan Companies, Inc.",171.93,85278914200.99263,28.54229194,6.0953,,Finance,-4.07632264,16.01351351,6.25449317
95,VRTX,Vertex Pharmaceuticals Incorporated,319.98,82136138820.76268,25.37055453,12.8071,3900.0,Health Technology,-19.54790499,31.67245279,3.04139605
96,REGN,"Regeneron Pharmaceuticals, Inc.",736.46,80188554890.156,15.6596256,50.3088,10368.0,Health Technology,225.89967557,40.62669164,-85.17253993
97,SLB,Schlumberger N.V.,56.34,79889770961.98106,23.7989807,2.429,,Industrial Services,,,
98,MO,"Altria Group, Inc.",44.5,79751679927.7526,17.14507671,2.5788,6000.0,Consumer Non-Durables,1.0056414,39.01283691,-0.066357
99,PGR,Progressive Corporation (The),135.4,79218441966.17755,113.41842304,1.1936,,Finance,,,
100,DUK,Duke Energy Corporation (Holding Company),101.64,78269178725.4814,20.43822056,4.9701,27605.0,Utilities,-50.43572985,-5.50264972,-308.43507214
101,TGT,Target Corporation,168.68,77645103300.59843,23.07155179,7.3609,450000.0,Retail Trade,-35.48755714,4.79317013,-216.60194175
102,EOG,"EOG Resources, Inc.",132.1,77594158543.60017,10.58082157,12.8208,2800.0,Energy Minerals,220.20312582,24.98356677,174.46153846
103,ZTS,Zoetis Inc.,164.7,76762053508.25644,37.75456561,4.3915,12100.0,Health Technology,3.76569038,22.32510288,-30.33707865
104,USB,U.S. Bancorp,48.8,74675807769.25092,13.21540625,3.6968,,Finance,,,
105,SO,Southern Company (The),67.43,73409210380.61148,21.55035812,3.1751,27300.0,Utilities,-36.79927667,-6.51312957,-511.61825726
106,HCA,"HCA Healthcare, Inc.",253.3,71612134929.067,13.24175282,,,Health Services,-23.31846897,6.8517258,-3.7569944
107,BDX,"Becton, Dickinson and Company",250.13,71103950618.52235,42.03866315,6.0319,77000.0,Health Technology,-51.89690125,8.80233174,35.18518519
108,ITW,Illinois Tool Works Inc.,229.95,70637505415.74521,26.3315906,8.7907,45000.0,Producer Manufacturing,-12.05756515,15.64164649,11.67883212
109,APD,"Air Products and Chemicals, Inc.",313.9,69643725624.37848,31.15949216,10.1058,21900.0,Process Industries,-71.97474168,1.92213805,-19.00905193
110,MRNA,"Moderna, Inc.",180.87,69486725830.47362,6.84706121,29.3391,2700.0,Health Technology,583.82132851,72.33476348,-94.61756374
111,ABNB,"Airbnb, Inc.",109.48,69310237708.80939,48.50437184,2.5516,6132.0,Consumer Services,429.50623817,36.68614898,84.43305779
112,MU,"Micron Technology, Inc.",61.71,67336501532.87506,11.58051239,5.565,48000.0,Electronic Technology,27.72764561,10.12419533,-323.77414562
113,NOC,Northrop Grumman Corporation,439.28,67233285739.1671,13.88615668,31.7086,95000.0,Electronic Technology,-31.87732342,4.00524561,128.34978843
114,FISV,"Fiserv, Inc.",105.75,67154217708.05945,33.44430137,3.2139,44000.0,Finance,-10.93563766,18.42105263,96.97732997
115,PNC,"PNC Financial Services Group, Inc. (The)",162.86,65684536612.8667,11.77400152,13.8758,61545.0,Finance,,,
116,AON,Aon plc,317.54,65684078719.92616,24.78767836,12.9701,50000.0,Finance,-22.59651779,16.77054289,260.58394161
117,BSX,Boston Scientific Corporation,45.81,65614179486.5463,110.59985546,0.4177,41000.0,Distribution Services,16.34275618,11.07839838,-10.83333333
118,LRCX,Lam Research Corporation,478.63,65275248354.92791,12.98130819,37.3122,17700.0,Producer Manufacturing,-21.16124798,14.86231332,-24.97701636
119,TFC,Truist Financial Corporation,48.45,64281824303.59644,11.03903442,4.4629,,Finance,,,
120,ETN,"Eaton Corporation, PLC",160.87,63978003129.82957,28.41032466,5.7438,85947.0,Producer Manufacturing,-37.84735812,8.09048298,151.05740181
121,CME,CME Group Inc.,175.96,63297314039.96448,23.90008979,7.386,3480.0,Finance,-9.64616179,48.51483037,5.65094182
122,FCX,"Freeport-McMoRan, Inc.",43.98,62861812928.94778,18.88032352,,,Non-Energy Minerals,-70.17857143,7.3309921,-98.54208085
123,WM,"Waste Management, Inc.",153.1,62844041398.64228,28.35036225,5.4124,48500.0,Industrial Services,37.43647657,13.57425687,-40.97222222
124,CSX,CSX Corporation,29.88,62819971539.7859,15.43434758,,,Transportation,,,
125,GD,General Dynamics Corporation,228.07,62616387543.65981,18.65069605,12.3208,,Electronic Technology,2.39361702,8.79285406,-86.5073246
126,MMM,3M Company,112.58,62227797924.80849,11.35971613,10.1711,,Producer Manufacturing,-34.33601094,11.22440036,-2.27743271
127,HUM,Humana Inc.,484.91,61389760952.95074,21.84852223,22.16,96900.0,Health Services,-79.76470588,1.13092961,225.42845755
128,CL,Colgate-Palmolive Company,72.88,60870405768.23689,33.70686002,2.1311,,Consumer Non-Durables,-32.55982596,10.35231257,-50.49288061
129,MPC,Marathon Petroleum Corporation,129.14,60522866002.37289,5.8326894,22.9335,17700.0,Energy Minerals,886.95652174,2.41782646,218.8852459
130,SHW,Sherwin-Williams Company (The),230.88,59831033964.50512,29.60094292,7.8305,,Process Industries,,,
131,CHTR,"Charter Communications, Inc.",390.94,59677538363.5777,12.82092124,31.3064,101700.0,Consumer Services,-35.50674105,10.27174114,-59.74930362
132,ICE,Intercontinental Exchange Inc.,106.66,59575118816.07523,23.90009521,4.5405,8858.0,Finance,10.09723261,29.01350153,36.12774451
133,ATVI,"Activision Blizzard, Inc",75.96,59448218654.58452,35.96038303,2.1448,9800.0,Technology Services,7.35970561,26.51368852,-51.40562249
134,UBER,"Uber Technologies, Inc.",29.63,59094290928.22331,,-4.5077,29300.0,Transportation,82.69349845,-3.20252077,-24.04844291
135,MELI,"MercadoLibre, Inc.",1161.8,58432610145.28827,229.47144924,5.3715,29957.0,Retail Trade,-58.08526741,5.54663056,319.66236396
136,OXY,Occidental Petroleum Corporation,64.13,58288663544.14727,5.54347554,12.8709,11678.0,Energy Minerals,432.67605634,29.13488945,26.72623883
137,SCCO,Southern Copper Corporation,74.59,57665419332.29727,22.44357508,3.323,14700.0,Non-Energy Minerals,55.15652095,31.09629508,-62.95273174
138,MCO,Moody's Corporation,314.2,57561436622.82684,38.1496956,8.4188,13460.0,Commercial Services,-8.57282026,30.18655516,-32.50620347
139,NTES,"NetEase, Inc.",89.58,57490655287.38277,18.04844427,5.1328,32064.0,Technology Services,4.74215981,26.62476322,13.44611603
140,BN,Brookfield Corporation,36.68,57340809752.54799,19.26168417,1.95875182,180000.0,Finance,-78.40433759,1.25967272,-75.83015269
141,MET,"MetLife, Inc.",72.16,56617184196.33759,27.07354654,2.6998,43000.0,Finance,11.46159194,18.40843858,22.01939532
142,EPD,Enterprise Products Partners L.P.,25.59,55672833242.31813,11.47193635,2.3197,6911.0,Industrial Services,126.99294185,15.24197196,-67.64878883
143,KLAC,KLA Corporation,387.68,54941358693.2691,16.41835837,24.4606,14000.0,Electronic Technology,53.8540533,32.66295302,-20.27746458
144,PXD,Pioneer Natural Resources Company,229.83,54607318185.14464,8.36032244,29.423,1932.0,Energy Minerals,694.1011236,15.81980974,95.57613169
145,NSC,Norfolk Southern Corporation,238.21,54330082503.78929,17.19381106,,,Transportation,-18.34829443,17.84229109,-73.44064386
146,MAR,Marriott International,171.2,54191582112.60023,26.60145878,6.5842,120000.0,Consumer Services,-33.90957447,7.17326983,39.30434783
147,VLO,Valero Energy Corporation,140.19,54046511845.97437,4.91625443,29.172,,Energy Minerals,,,
148,MCK,McKesson Corporation,378.69,53695777528.02271,26.87398567,14.2508,75000.0,Distribution Services,-1.14529531,1.66763901,-38.66295265
149,MNST,Monster Beverage Corporation,102.37,53410898166.0642,45.3879101,2.292,4092.0,Consumer Non-Durables,-15.47526647,20.06501301,28.29308945
150,SNPS,"Synopsys, Inc.",349.88,53327724990.45741,56.74014548,6.4334,19000.0,Technology Services,13.95265009,33.29290393,4.06507855
151,EMR,Emerson Electric Company,89.69,53042668370.87286,16.50761421,5.4478,85500.0,Electronic Technology,-20.14028056,12.17971576,63.62179487
152,D,"Dominion Energy, Inc.",62.69,52238023397.24659,22.49153641,2.801,17100.0,Utilities,-83.33333333,-14.49441421,-216.23931624
153,DG,Dollar General Corporation,232.89,52068334976.70026,22.9487005,10.3439,163000.0,Retail Trade,-36.96532823,5.24642736,-118.39665428
154,F,Ford Motor Company,12.89,51824171585.28185,5.9996383,2.2555,183000.0,Consumer Durables,-48.39963297,7.01183063,-61.72248804
155,VMW,"Vmware, Inc.",121.8,51816953717.54663,37.49811605,3.3374,37500.0,Technology Services,-2.67156863,30.90031904,17.58130081
156,GM,General Motors Company,36.29,51557087086.20184,6.44213957,5.9365,157000.0,Consumer Durables,-79.21304685,-5.45100942,103.69709745
157,SHOP,Shopify Inc.,47.19,51077826667.45087,,-2.5441,10000.0,Technology Services,18.37432318,9.83638691,-931.50880549
158,SRE,DBA Sempra,161.24,50683113801.22696,22.72095472,7.1451,15390.0,Utilities,39.04833837,-6.17869995,-2194.50549451
159,PSX,Phillips 66,106.42,50297523752.84172,4.97456216,21.9186,14000.0,Energy Minerals,613.84425216,3.71346387,45.91156875
160,CDNS,"Cadence Design Systems, Inc.",180.74,49579875233.91438,65.12159927,2.886,9300.0,Technology Services,27.84205582,34.65781241,-1.595992
161,KHC,The Kraft Heinz Company,40.37,49450429485.71806,40.35997559,0.9921,36000.0,Consumer Non-Durables,2.90791599,17.12168337,172.82051282
162,BIDU,"Baidu, Inc.",138.48,49439806927.10104,74.62430228,1.8905,45500.0,Technology Services,-48.34770471,7.41085845,833.80266147
163,ORLY,"O'Reilly Automotive, Inc.",789.63,49411813661.29023,23.53998779,33.0576,83636.0,Retail Trade,16.59337906,20.74240429,9.08655188
164,SNOW,Snowflake Inc.,152.92,49179073121.75877,,-2.283,3992.0,Technology Services,319.28358976,9.79515749,316.71054075
165,KDP,Keurig Dr Pepper Inc.,34.72,49172243464.03688,27.15604946,1.2879,27500.0,Consumer Non-Durables,22.85714286,19.32508082,1.78306092
166,AEP,"American Electric Power Company, Inc.",92.87,47722522451.63759,19.31914894,4.8331,16688.0,Utilities,23.93166053,-10.6866785,-82.7828307
167,SQ,"Block, Inc.",79.79,47720575537.22892,,-0.9259,8521.0,Technology Services,193.38283971,4.03998527,-105.98200044
168,PANW,"Palo Alto Networks, Inc.",157.63,47660523078.73344,,-0.4863,12561.0,Technology Services,29.21113354,32.57111697,115.96608335
169,EW,Edwards Lifesciences Corporation,76.06,47024893114.10802,33.64333075,2.3465,15700.0,Health Technology,117.25629538,26.87625418,-46.94397284
170,AIG,"American International Group, Inc. New",63.17,46934046723.68671,3.78718111,17.0634,36600.0,Finance,504.9132948,12.06177844,14.65809072
171,JCI,Johnson Controls International plc,68.26,46874404269.09747,31.30968622,2.2094,102000.0,Producer Manufacturing,-27.95865633,5.51009921,247.09897611
172,KKR,KKR & Co. Inc.,54.43,46870319489.13766,,-0.5824,3238.0,Finance,1729.05727136,19.61779095,23.23594346
173,HES,Hess Corporation,151.77,46791976746.8736,21.75789899,,,Energy Minerals,6.64916885,10.76474744,17.69230769
174,APH,Amphenol Corporation,78.29,46589952711.19885,25.6623597,3.1913,,Electronic Technology,51.80130542,14.18680187,59.13111342
175,NXPI,NXP Semiconductors N.V.,179.48,46509522445.9588,18.08311419,10.1299,31000.0,Electronic Technology,8.94736842,20.58212058,14.96489212
176,FDX,FedEx Corporation,184.08,46461265028.49622,14.97053971,12.8533,249000.0,Transportation,-27.8052223,3.28193173,-180.0
177,GIS,"General Mills, Inc.",78.21,46113453876.21105,16.2765913,4.8314,32500.0,Consumer Non-Durables,12.02903278,14.46548166,-32.90661903
178,AZO,"AutoZone, Inc.",2428.58,46097913845.10013,19.86238324,123.1164,112000.0,Retail Trade,-12.35967158,15.62089633,0.52230334
179,HSY,The Hershey Company,223.19,45772378268.58595,28.57142857,10.1379,18990.0,Consumer Non-Durables,26.15007102,17.68974903,22.97556175
180,AFL,AFLAC Incorporated,73.04,45415439741.70786,9.3087687,7.867,12447.0,Finance,-15.22322927,22.84900027,-41.93200216
181,WDAY,"Workday, Inc.",176.48,45355360934.74997,,-1.2432,15200.0,Technology Services,36.58656967,26.93388339,-0.37458834
182,ADM,Archer-Daniels-Midland Company,82.25,45182738811.54491,10.85779572,,,Process Industries,-60.21009952,2.11982562,-223.40425532
183,ADSK,"Autodesk, Inc.",209.12,45121301027.98179,74.38185602,2.8531,12600.0,Technology Services,9.59809821,33.54250506,78.98832685
184,A,"Agilent Technologies, Inc.",151.74,44925969244.79106,37.25086733,4.2039,18100.0,Health Technology,-21.27987664,14.90946262,-0.26385224
185,ROP,"Roper Technologies, Inc.",423.48,44910922887.58389,39.00359389,11.2221,,Technology Services,-66.43254169,12.36643211,-94.48251625
186,CTVA,"Corteva, Inc.",62.53,44677186316.63748,34.30245056,1.8735,21000.0,Process Industries,35.55695406,13.75918237,-108.4375
187,CMG,"Chipotle Mexican Grill, Inc.",1609.86,44627109043.74061,56.17016241,28.9653,97660.0,Consumer Services,129.73165748,13.86990247,25.45843766
188,CTAS,Cintas Corporation,436.04,44310591140.94477,35.5787538,12.5278,43000.0,Consumer Services,6.54604155,16.51231485,-9.99227259
189,LVS,Las Vegas Sands Corp.,57.88,44229941740.54447,,-1.3429,,Consumer Services,,,
190,FIS,"Fidelity National Information Services, Inc.",74.39,44141498772.21373,49.13894325,1.5417,65000.0,Commercial Services,7.44197176,32.35569648,-53.1688166
191,TRV,"The Travelers Companies, Inc.",187.91,44036243865.74614,16.00827722,11.9317,,Finance,,,
192,COF,Capital One Financial Corporation,115.0,43895333630.46436,6.59835238,17.8797,56000.0,Finance,,,
193,KMB,Kimberly-Clark Corporation,128.99,43533104838.38101,22.55265552,5.7304,,Consumer Non-Durables,7.77713291,9.20446097,0.63371356
194,ECL,Ecolab Inc.,150.46,42855231018.98706,38.81513569,3.9502,47000.0,Process Industries,3.47870478,11.14339792,-45.06186727
195,NUE,Nucor Corporation,166.37,42681174315.16714,5.80720376,28.8052,,Non-Energy Minerals,76.27538439,19.57040279,-8.18720189
196,CNC,Centene Corporation,74.7,42299599932.47841,21.96438996,3.4735,72500.0,Health Services,-28.895123,2.615453,95.62460368
197,MSI,"Motorola Solutions, Inc.",252.24,42175334482.86698,37.38262825,6.9972,18700.0,Electronic Technology,14.18338109,19.50801615,0.95238095
198,IQV,"IQVIA Holdings, Inc.",226.28,42029252119.64492,37.33222705,6.2542,79000.0,Health Services,71.4072971,16.58620938,2.34604106
199,NEM,Newmont Corporation,52.74,41861782465.3087,42.28054873,1.2628,31000.0,Non-Energy Minerals,-26.64804469,21.54224774,-107.50670241
200,STZ,"Constellation Brands, Inc.",226.36,41773747857.29307,2325.10162602,0.3324,10000.0,Consumer Non-Durables,-13.55888563,19.02786279,-43.89953931
201,MCHP,Microchip Technology Incorporated,75.68,41624656081.68899,23.69448511,3.3303,21000.0,Electronic Technology,35.56664291,36.25034819,28.07576894
