Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Free Cash Flow (Quarterly YoY Growth)
CSCO,"Cisco Systems, Inc.",48.22,1.21746432,0.58,Neutral,310548167,14974632612.74,198092721124.29227,17.53732692,2.7758,83300,Electronic Technology,-13.63636364,24.72797098,14.55370651
DIS,Walt Disney Company (The),107.59,23.83747698,20.71,Sell,220666006,23741455585.54,196543790336.61264,63.58623092,1.7266,220000,Consumer Services,-46.73038229,1.28239283,-9.59264126
NKE,"Nike, Inc.",126.37,7.9993163,9.36,Buy,127325374,16090107512.380001,195957631666.30032,36.01423287,3.59,79100,Consumer Non-Durables,-25.69607514,9.46743033,-70.33734005
ABT,Abbott Laboratories,109.81,0.0182166,0.02,Buy,97070265,10659285799.65,191461826028.50974,28.11301457,,,Health Technology,,,
DHR,Danaher Corporation,262.75,-1.00595283,-2.67,Neutral,56317790,14797499322.5,191272209301.58655,27.54585279,9.7935,,Health Technology,4.28935447,23.40885259,15.62990068
TMUS,"T-Mobile US, Inc.",146.98,4.98571429,6.98,Buy,102077430,15003340661.4,182865775287.64355,120.10313498,1.227,75000,Communications,432.49042146,8.67345665,-43.50523459
ACN,Accenture plc,274.32,2.80317793,7.48,Sell,43220472,11856239879.04,180609123083.08636,25.18232596,11.1543,721000,Technology Services,5.09963293,14.32458894,13.56471936
WFC,Wells Fargo & Company,46.29,12.10946961,5,Buy,375496717,17381743029.93,176387622768.35452,14.68836587,3.1703,,Finance,,,
VZ,Verizon Communications Inc.,41.05,4.18781726,1.65,Sell,462628330,18990892946.5,172402500975.09103,8.04306523,5.0584,117100,Communications,-27.00358386,10.27076406,-14.65163934
CMCSA,Comcast Corporation,39.24,12.21046611,4.27,Neutral,395830203,15532377165.720001,169650552047,33.25774754,,,Consumer Services,-20.95433607,13.00122707,-50.26818279
ADBE,Adobe Inc.,363.42,7.99037233,26.89,Neutral,46298185,16825686392.7,166373667728.91333,36.69851012,10.1235,29239,Technology Services,7.46875908,42.43258749,13.57397051
CRM,"Salesforce, Inc.",164.75,24.25522287,32.16,Neutral,195534374,32214288116.5,164750004277.97226,592.86486486,0.2787,73541,Technology Services,23.63340784,22.96542352,-32.86713287
MS,Morgan Stanley,95.96,12.86756057,10.94,Buy,161560441,15503339918.359999,162182896646.91556,15.78655714,6.2159,,Finance,,,
PM,Philip Morris International Inc,103.83,2.58867701,2.62,Buy,90979551,9446406780.33,160957505060.16934,18.4817071,5.6197,69600,Consumer Non-Durables,21.81324647,35.79085051,-24.26035503
LIN,Linde plc,325.03,-0.35256607,-1.15,Buy,39480455,12832332288.65,160688180321.61148,42.95371265,7.6247,72327,Process Industries,64.78034252,21.56009483,3.25068871
NFLX,"Netflix, Inc.",353.11,19.74701574,58.23,Buy,200756813,70889238238.43001,157256393604.17575,36.24153658,10.1052,12800,Technology Services,1326.38984656,5.11940485,158.36859885
TXN,Texas Instruments Incorporated,173.13,4.78755599,7.91,Buy,109690842,18990775475.46,157127896169.56534,18.63026514,9.5214,,Electronic Technology,-5.8945027,29.57359696,0
BMY,Bristol-Myers Squibb Company,72.03,0.11118833,0.08,Buy,155470932,11198571231.96,153147309603.9884,23.61165428,3.0919,32200,Health Technology,14.54996616,32.84251374,-31.14491593
UPS,"United Parcel Service, Inc.",176.97,1.80050621,3.13,Sell,48492346,8581690471.62,153047355639.05072,14.2684752,12.8308,534000,Transportation,114.24608678,11.12402782,-33.98421271
COP,ConocoPhillips,120.53,2.1440678,2.53,Buy,91924611,11079673363.83,150188958498.7247,8.87320809,13.986,9900,Energy Minerals,13316.09195402,25.34306062,78.62660944
NEE,"NextEra Energy, Inc.",75.05,-10.22727273,-8.55,Sell,162003209,12158340835.449999,149136629858.149,36.15230077,,,Utilities,-434.29602888,-7.06241649,-66.02907422
QCOM,QUALCOMM Incorporated,131.63,19.72894306,21.69,Buy,162001943,21324315757.09,147557223248.78214,11.72747253,11.5171,51000,Electronic Technology,-20.9759482,15.46153846,25.50231839
RTX,Raytheon Technologies Corporation,98.71,-2.18985335,-2.21,Buy,99710109,9842384859.39,145109698458.04034,28.4839992,3.5244,,Electronic Technology,-1.1545473,7.27554641,74.43365696
T,AT&T Inc.,20.16,9.50570342,1.75,Neutral,741202691,14942646250.56,143680325494.2316,,-1.2224,,Communications,-51.25049155,10.26743194,-68.61107369
SCHW,Charles Schwab Corporation (The),75.5,-9.32020178,-7.76,Buy,191530391,14460544520.5,140938819949.02936,21.30894982,3.5214,,Finance,,,
HON,Honeywell International Inc.,205.78,-3.97573495,-8.52,Buy,58154844,11967103798.32,138350479065.71884,26.62428204,7.8904,99000,Electronic Technology,-2.99886835,14.95623346,108.45225027
CAT,"Caterpillar, Inc.",261.5,9.15845717,21.94,Buy,59859732,15653319918,136087052766.0089,19.22082074,13.8493,107700,Producer Manufacturing,12.20322887,9.26957477,61.66522116
AMGN,Amgen Inc.,251.59,-4.20727993,-11.05,Buy,40014866,10067340136.94,134243178287.49947,20.33168745,12.5397,24200,Health Technology,-15.24926686,32.25074075,29.50367647
PDD,Pinduoduo Inc.,97.15,19.12936849,15.6,Strong Buy,149558209,14529580004.35,132355900696,34.57409915,3.439,9762,Retail Trade,-3.08124235,27.13762164,
AXP,American Express Company,172.66,16.85956007,24.91,Strong Buy,75606357,13054193599.619999,129017190286.40022,17.44646383,,,Finance,,,
DE,Deere & Company,420.6,-1.90316261,-8.16,Buy,26131211,10990787346.6,125438582482.99683,17.92794183,23.4613,82200,Producer Manufacturing,-82.29692965,1.73490764,10.73401736
BA,Boeing Company (The),209.67,10.06877001,19.18,Buy,143119785,30007925320.949997,124959799674.75633,,-8.2901,156000,Electronic Technology,152.09281165,3.43807708,533.80566802
SBUX,Starbucks Corporation,108.4,9.27419355,9.2,Strong Buy,122520800,13281254720,124421521461.6401,38.47945786,2.8456,402000,Consumer Services,-30.39019843,12.97493197,-34.56880979
UNP,Union Pacific Corporation,200.2,-3.31771865,-6.87,Sell,53694921,10749723184.199999,123083128254.45428,18.03961067,11.2394,,Transportation,-5.80708661,23.08341709,-11.44343303
IBM,International Business Machines Corporation,135.3,-3.96763432,-5.59,Buy,98369571,13309402956.300001,122328301879.72916,76.37965331,1.817,,Technology Services,-20.11365754,14.16652899,45.34161491
LOW,"Lowe's Companies, Inc.",201.91,1.34009235,2.67,Buy,55755082,11257508606.619999,122095500368.58865,19.84495668,10.2303,340000,Retail Trade,-10.77986606,8.58181818,-7.16594828
GS,"Goldman Sachs Group, Inc. (The)",357.46,4.10041354,14.08,Buy,70291721,25126478588.66,121048322045.21815,11.76705424,30.5424,,Finance,,,
SPGI,S&P Global Inc.,366.14,9.31510121,31.2,Buy,27017516,9892193308.24,119288412209.84483,31.21989967,12.0089,22850,Commercial Services,2.06244629,42.94323249,-17.3096976
LMT,Lockheed Martin Corporation,460.59,-5.32385044,-25.9,Buy,32444925,14943808005.75,117587386003.58112,21.17445428,21.7908,116000,Electronic Technology,-20.35329264,9.29316198,-66.26604753
INTU,Intuit Inc.,416.45,6.99604337,27.23,Neutral,27190339,11323416676.55,116991362322.82819,64.39040741,6.6588,17300,Technology Services,17.29865246,29.41222694,122.31404959
AMD,"Advanced Micro Devices, Inc.",72.45,11.85734136,7.68,Neutral,1009798049,73159868650.05,116815200295.37463,45.17675255,1.6877,15500,Electronic Technology,314.41441441,19.59352562,10.20942408
ELV,"Elevance Health, Inc.",489.08,-4.65719243,-23.89,Buy,24014726,11745122192.08,116805790425.93301,19.86680973,,,Health Services,-0.4122578,4.62786168,-236.33633634
INTC,Intel Corporation,27.95,5.75104048,1.52,Sell,788221573,22030792965.35,115629149373.70563,14.43362378,1.965,131900,Electronic Technology,-199.53425792,-15.25200622,209.20980926
CVS,CVS Health Corporation,87.05,-6.58868977,-6.14,Neutral,202816012,17655133844.6,114380818703.50934,37.23909723,2.3999,300000,Retail Trade,17.25498957,5.39332386,73.88560961
BX,Blackstone Inc.,94.9,27.91481332,20.71,Buy,91979179,8728824087.1,113682238783.95683,40.47629101,2.3697,,Finance,,,
BLK,"BlackRock, Inc.",747.86,5.53603432,39.23,Buy,14449565,10806251680.9,112325259317.49454,22.35512367,34.3072,,Finance,,,
MDT,Medtronic plc.,82.58,6.25321668,4.86,Sell,132354681,10929849556.98,109846271271.00002,25.67067674,3.2316,95000,Health Technology,22.37461617,18.86637632,-60.01335113
GILD,"Gilead Sciences, Inc.",83.35,-2.91205591,-2.5,Buy,116491825,9709593613.75,104541232963.22765,31.6631372,2.6556,14400,Health Technology,43.7217345,39.47464562,-13.10211946
C,"Citigroup, Inc.",51.75,14.41521114,6.52,Sell,347105159,17962691978.25,100232139027.9117,7.41832122,7.0321,,Finance,,,
EL,"Estee Lauder Companies, Inc. (The)",271.21,9.31038652,23.1,Buy,27565736,7476103260.559999,96771073225.46786,45.1000966,6.0822,63000,Consumer Non-Durables,-33.23313293,11.26959071,-180.41958042
CI,Cigna Corporation,310.36,-6.33186455,-20.98,Buy,30920296,9596423066.560001,94889156526.22733,14.72948956,21.1706,73700,Health Services,-34.77744166,3.46408529,66.47823629
BKNG,Booking Holdings Inc. Common Stock,2436.98,20.92513199,421.7,Strong Buy,5698699,13887615489.02,94528960094.56387,40.46688199,61.2038,20300,Consumer Services,1351.74129353,22.96039423,-106.3282795
SYK,Stryker Corporation,249.54,2.06552415,5.05,Buy,25493227,6361579865.58,94433404461.1295,39.54476149,6.5003,46000,Health Technology,-1.86379928,16.00420856,-6.47571606
TJX,"TJX Companies, Inc. (The)",81.51,2.39949749,1.91,Buy,102239436,8333536428.360001,94185142596.12527,28.55299861,,340000,Retail Trade,-43.54336551,4.41143933,-11.93224453
CB,Chubb Limited,226.07,2.47960109,5.47,Buy,29563581,6683438756.67,93830420487.64468,15.84700215,14.4553,31000,Finance,17.56453423,30.69222317,1.67926113
ADP,"Automatic Data Processing, Inc.",222.35,-6.91199866,-16.51,Neutral,40410350,8985241322.5,92236960227.31319,29.34726265,7.566,60000,Technology Services,0.35681202,17.72970548,-19.33953312
AMAT,"Applied Materials, Inc.",108.2,11.11111111,10.82,Buy,110993889,12009538789.800001,91335923168.82137,15.12605042,7.487,33000,Producer Manufacturing,-3.39338081,17.95600545,-32.69639066
PYPL,"PayPal Holdings, Inc.",79.64,11.82252176,8.42,Sell,239647993,19085566162.52,90791808853.30759,41.61411717,1.9786,30900,Commercial Services,8.90136327,21.25112476,37.32503888
NOW,"ServiceNow, Inc.",442.57,13.98511345,54.3,Neutral,39771009,17601455453.13,89576162438.6989,286.59046905,1.6092,,Technology Services,20.7893274,29.99309869,36.82795699
MDLZ,"Mondelez International, Inc.",64.84,-2.71567892,-1.81,Buy,108320248,7023484880.320001,88546707172.72313,28.77595483,2.2623,79000,Consumer Non-Durables,2.41857465,11.05849582,-55.22174535
GE,General Electric Company,80.83,23.62205683,15.445228,Buy,185554713,14998387451.79,88320365343.26096,,-0.0988,,Producer Manufacturing,,,
ADI,"Analog Devices, Inc.",168.93,2.98725843,4.9,Buy,60381535,10200252707.550001,86035362200.61278,32.41063975,5.3091,24450,Electronic Technology,57.90353154,31.43090372,4.30608423
ISRG,"Intuitive Surgical, Inc.",242.23,-8.71302054,-23.12,Sell,39228269,9502263599.869999,85600338129.91591,67.71278344,3.7169,,Health Technology,,,
MMC,"Marsh & McLennan Companies, Inc.",171.93,3.89775199,6.45,Buy,28858512,4961643968.16,85278914200.99263,28.54229194,6.0953,,Finance,-4.07632264,16.01351351,6.25449317
VRTX,Vertex Pharmaceuticals Incorporated,319.98,10.8040723,31.2,Strong Buy,27851119,8911801057.62,82136138820.76268,25.37055453,12.8071,3900,Health Technology,-19.54790499,31.67245279,3.04139605
REGN,"Regeneron Pharmaceuticals, Inc.",736.46,2.07487283,14.97,Buy,11603299,8545365581.54,80188554890.156,15.6596256,50.3088,10368,Health Technology,225.89967557,40.62669164,-85.17253993
SLB,Schlumberger N.V.,56.34,5.38720539,2.88,Buy,192243749,10831012818.66,79889770961.98106,23.7989807,2.429,,Industrial Services,,,
MO,"Altria Group, Inc.",44.5,-2.64712317,-1.21,Sell,143438152,6382997764,79751679927.7526,17.14507671,2.5788,6000,Consumer Non-Durables,1.0056414,39.01283691,-0.066357
PGR,Progressive Corporation (The),135.4,4.38670881,5.69,Buy,41557770,5626922058,79218441966.17755,113.41842304,1.1936,,Finance,,,
DUK,Duke Energy Corporation (Holding Company),101.64,-1.31080687,-1.35,Buy,50604150,5143405806,78269178725.4814,20.43822056,4.9701,27605,Utilities,-50.43572985,-5.50264972,-308.43507214
TGT,Target Corporation,168.68,13.17767042,19.64,Buy,62512381,10544588427.08,77645103300.59843,23.07155179,7.3609,450000,Retail Trade,-35.48755714,4.79317013,-216.60194175
EOG,"EOG Resources, Inc.",132.1,1.99197035,2.58,Buy,54201499,7160018017.9,77594158543.60017,10.58082157,12.8208,2800,Energy Minerals,220.20312582,24.98356677,174.46153846
ZTS,Zoetis Inc.,164.7,12.38485159,18.15,Buy,45633175,7515783922.499999,76762053508.25644,37.75456561,4.3915,12100,Health Technology,3.76569038,22.32510288,-30.33707865
USB,U.S. Bancorp,48.8,11.90094015,5.19,Neutral,187643940,9157024272,74675807769.25092,13.21540625,3.6968,,Finance,,,
SO,Southern Company (The),67.43,-5.5734491,-3.98,Neutral,69234634,4668491370.620001,73409210380.61148,21.55035812,3.1751,27300,Utilities,-36.79927667,-6.51312957,-511.61825726
HCA,"HCA Healthcare, Inc.",253.3,5.55925988,13.34,Strong Buy,28245225,7154515492.5,71612134929.067,13.24175282,,,Health Services,-23.31846897,6.8517258,-3.7569944
BDX,"Becton, Dickinson and Company",250.13,-1.63979552,-4.17,Buy,21000794,5252928603.22,71103950618.52235,42.03866315,6.0319,77000,Health Technology,-51.89690125,8.80233174,35.18518519
ITW,Illinois Tool Works Inc.,229.95,4.38039038,9.65,Buy,17064839,3924059728.05,70637505415.74521,26.3315906,8.7907,45000,Producer Manufacturing,-12.05756515,15.64164649,11.67883212
APD,"Air Products and Chemicals, Inc.",313.9,1.82962434,5.64,Buy,18361615,5763710948.5,69643725624.37848,31.15949216,10.1058,21900,Process Industries,-71.97474168,1.92213805,-19.00905193
MRNA,"Moderna, Inc.",180.87,0.6959136,1.25,Neutral,69646875,12597030281.25,69486725830.47362,6.84706121,29.3391,2700,Health Technology,583.82132851,72.33476348,-94.61756374
ABNB,"Airbnb, Inc.",109.48,28.04678363,23.98,Sell,101914664,11157617414.720001,69310237708.80939,48.50437184,2.5516,6132,Consumer Services,429.50623817,36.68614898,84.43305779
MU,"Micron Technology, Inc.",61.71,23.46938776,11.73,Buy,274728301,16953483454.71,67336501532.87506,11.58051239,5.565,48000,Electronic Technology,27.72764561,10.12419533,-323.77414562
NOC,Northrop Grumman Corporation,439.28,-19.48827917,-106.33,Buy,28292259,12428223533.519999,67233285739.1671,13.88615668,31.7086,95000,Electronic Technology,-31.87732342,4.00524561,128.34978843
FISV,"Fiserv, Inc.",105.75,4.63045414,4.68,Strong Buy,53844370,5694042127.5,67154217708.05945,33.44430137,3.2139,44000,Finance,-10.93563766,18.42105263,96.97732997
PNC,"PNC Financial Services Group, Inc. (The)",162.86,3.115107,4.92,Neutral,54443786,8866714987.960001,65684536612.8667,11.77400152,13.8758,61545,Finance,,,
AON,Aon plc,317.54,5.7972946,17.4,Buy,13744317,4364370420.180001,65684078719.92616,24.78767836,12.9701,50000,Finance,-22.59651779,16.77054289,260.58394161
BSX,Boston Scientific Corporation,45.81,-0.99416469,-0.46,Buy,131508351,6024397559.31,65614179486.5463,110.59985546,0.4177,41000,Distribution Services,16.34275618,11.07839838,-10.83333333
LRCX,Lam Research Corporation,478.63,13.87818225,58.33,Buy,26117971,12500844459.73,65275248354.92791,12.98130819,37.3122,17700,Producer Manufacturing,-21.16124798,14.86231332,-24.97701636
TFC,Truist Financial Corporation,48.45,12.59586335,5.42,Neutral,139751291,6770950048.950001,64281824303.59644,11.03903442,4.4629,,Finance,,,
ETN,"Eaton Corporation, PLC",160.87,2.4976107,3.92,Buy,30317095,4877111072.650001,63978003129.82957,28.41032466,5.7438,85947,Producer Manufacturing,-37.84735812,8.09048298,151.05740181
CME,CME Group Inc.,175.96,4.63843958,7.8,Neutral,35964512,6328315531.52,63297314039.96448,23.90008979,7.386,3480,Finance,-9.64616179,48.51483037,5.65094182
FCX,"Freeport-McMoRan, Inc.",43.98,15.73684211,5.98,Buy,258216590,11356365628.199999,62861812928.94778,18.88032352,,,Non-Energy Minerals,-70.17857143,7.3309921,-98.54208085
WM,"Waste Management, Inc.",153.1,-2.40948496,-3.78,Neutral,31396359,4806782562.9,62844041398.64228,28.35036225,5.4124,48500,Industrial Services,37.43647657,13.57425687,-40.97222222
CSX,CSX Corporation,29.88,-3.55067786,-1.1,Sell,257716372,7700565195.36,62819971539.7859,15.43434758,,,Transportation,,,
GD,General Dynamics Corporation,228.07,-8.07706259,-20.04,Buy,24787923,5653381598.61,62616387543.65981,18.65069605,12.3208,,Electronic Technology,2.39361702,8.79285406,-86.5073246
MMM,3M Company,112.58,-6.12074716,-7.34,Strong Sell,71919715,8096721514.7,62227797924.80849,11.35971613,10.1711,,Producer Manufacturing,-34.33601094,11.22440036,-2.27743271
HUM,Humana Inc.,484.91,-5.3261485,-27.28,Buy,20237070,9813157613.7,61389760952.95074,21.84852223,22.16,96900,Health Services,-79.76470588,1.13092961,225.42845755
CL,Colgate-Palmolive Company,72.88,-7.5009519,-5.91,Sell,98863467,7205169474.959999,60870405768.23689,33.70686002,2.1311,,Consumer Non-Durables,-32.55982596,10.35231257,-50.49288061
MPC,Marathon Petroleum Corporation,129.14,10.95454936,12.75,Strong Buy,66332424,8566169235.359999,60522866002.37289,5.8326894,22.9335,17700,Energy Minerals,886.95652174,2.41782646,218.8852459
SHW,Sherwin-Williams Company (The),230.88,-2.7177348,-6.45,Neutral,32663505,7541350034.4,59831033964.50512,29.60094292,7.8305,,Process Industries,,,
CHTR,"Charter Communications, Inc.",390.94,15.2875258,51.84,Sell,25979609,10156468342.46,59677538363.5777,12.82092124,31.3064,101700,Consumer Services,-35.50674105,10.27174114,-59.74930362
ICE,Intercontinental Exchange Inc.,106.66,3.96724827,4.07,Buy,41234853,4398109420.98,59575118816.07523,23.90009521,4.5405,8858,Finance,10.09723261,29.01350153,36.12774451
ATVI,"Activision Blizzard, Inc",75.96,-0.77073808,-0.59,Buy,104436871,7933024721.159999,59448218654.58452,35.96038303,2.1448,9800,Technology Services,7.35970561,26.51368852,-51.40562249
UBER,"Uber Technologies, Inc.",29.63,19.8139911,4.9,Sell,353913480,10486456412.4,59094290928.22331,,-4.5077,29300,Transportation,82.69349845,-3.20252077,-24.04844291
MELI,"MercadoLibre, Inc.",1161.8,37.28965778,315.56,Buy,11945417,13878185470.6,58432610145.28827,229.47144924,5.3715,29957,Retail Trade,-58.08526741,5.54663056,319.66236396
OXY,Occidental Petroleum Corporation,64.13,1.80981108,1.14,Buy,195375287,12529417155.31,58288663544.14727,5.54347554,12.8709,11678,Energy Minerals,432.67605634,29.13488945,26.72623883
SCCO,Southern Copper Corporation,74.59,23.51382679,14.2,Strong Buy,32726346,2441058148.1400003,57665419332.29727,22.44357508,3.323,14700,Non-Energy Minerals,55.15652095,31.09629508,-62.95273174
MCO,Moody's Corporation,314.2,12.77008111,35.58,Buy,18547041,5827480282.2,57561436622.82684,38.1496956,8.4188,13460,Commercial Services,-8.57282026,30.18655516,-32.50620347
NTES,"NetEase, Inc.",89.58,23.33746386,16.95,Buy,32350406,2897949369.48,57490655287.38277,18.04844427,5.1328,32064,Technology Services,4.74215981,26.62476322,13.44611603
BN,Brookfield Corporation,36.68,16.59249841,5.22,Neutral,32040970,1175262779.6,57340809752.54799,19.26168417,1.95875182,180000,Finance,-78.40433759,1.25967272,-75.83015269
MET,"MetLife, Inc.",72.16,-0.29017549,-0.21,Buy,68518292,4944279950.719999,56617184196.33759,27.07354654,2.6998,43000,Finance,11.46159194,18.40843858,22.01939532
EPD,Enterprise Products Partners L.P.,25.59,6.09452736,1.47,Strong Buy,98955369,2532267892.71,55672833242.31813,11.47193635,2.3197,6911,Industrial Services,126.99294185,15.24197196,-67.64878883
KLAC,KLA Corporation,387.68,2.82470891,10.65,Buy,25215943,9775716782.24,54941358693.2691,16.41835837,24.4606,14000,Electronic Technology,53.8540533,32.66295302,-20.27746458
PXD,Pioneer Natural Resources Company,229.83,0.63050046,1.44,Buy,31099034,7147490984.22,54607318185.14464,8.36032244,29.423,1932,Energy Minerals,694.1011236,15.81980974,95.57613169
NSC,Norfolk Southern Corporation,238.21,-3.33171009,-8.21,Sell,25125886,5985237304.06,54330082503.78929,17.19381106,,,Transportation,-18.34829443,17.84229109,-73.44064386
MAR,Marriott International,171.2,14.98421654,22.31,Buy,35245950,6034106640,54191582112.60023,26.60145878,6.5842,120000,Consumer Services,-33.90957447,7.17326983,39.30434783
VLO,Valero Energy Corporation,140.19,10.50764622,13.33,Buy,69376225,9725852982.75,54046511845.97437,4.91625443,29.172,,Energy Minerals,,,
MCK,McKesson Corporation,378.69,0.95169546,3.57,Buy,16986577,6432646844.13,53695777528.02271,26.87398567,14.2508,75000,Distribution Services,-1.14529531,1.66763901,-38.66295265
MNST,Monster Beverage Corporation,102.37,0.82734167,0.84,Buy,38897216,3981908001.92,53410898166.0642,45.3879101,2.292,4092,Consumer Non-Durables,-15.47526647,20.06501301,28.29308945
SNPS,"Synopsys, Inc.",349.88,9.58063203,30.59,Buy,11713699,4098389006.12,53327724990.45741,56.74014548,6.4334,19000,Technology Services,13.95265009,33.29290393,4.06507855
EMR,Emerson Electric Company,89.69,-6.63127212,-6.37,Buy,72474375,6500226693.75,53042668370.87286,16.50761421,5.4478,85500,Electronic Technology,-20.14028056,12.17971576,63.62179487
