Ticker,Description,Price,Market Capitalization,Price to Earnings Ratio (TTM),Price to Revenue Ratio (TTM),Basic EPS (TTM),EPS Diluted (FY),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),Total Shares Outstanding
CSGP,"CoStar Group, Inc.",77.9,31681155447.851635,90.7267001,14.56496522,0.8594,0.7422,43.85498449,23929300000,406690000
KR,Kroger Company (The),44.21,31646485636.68413,14.10368793,0.2226605,3.2368,2.1737,6.14483476,51696600000,715822000
KEYS,Keysight Technologies Inc.,176.91,31630703565.45562,28.70012454,5.89317343,6.2354,6.1758,20.24473379,31323000000,178795000
BF.A,Brown Forman Inc,65.67,31597583824.049843,36.01605293,7.80657023,1.8496,1.7438,25.05093377,34361400000,479150000
CPRT,"Copart, Inc.",66.29,31573927052.375824,30.05107069,9.0241006,2.2633,2.2603,20.3286483,26305800000,476300000
WBA,"Walgreens Boots Alliance, Inc.",36.53,31507252765.566856,,0.2428434,-3.4317,5.0087,,72133400000,862504000
PCG,Pacific Gas & Electric Co.,15.85,31505045113.496265,19.107674,1.58841715,0.8856,-0.0514,12.3427821,78498000000,1987700000
STT,State Street Corporation,90.15,31464530082.953266,12.62453387,2.53678041,7.2852,7.19,,44505500000,349024000
GFS,GlobalFoundries Inc.,57.51,31347149005.666607,39.62276771,4.17108734,1.5329,-0.4949,12.09662382,25886600000,545073000
DFS,Discover Financial Services,114.44,31267953435.63664,7.59113625,,15.5008,15.5155,,,273226000
BKR,Baker Hughes Company,31.02,31065523894.54505,,1.4928011,-0.5963,-0.6089,11.79498969,33964800000.000004,1001470000
GLW,Corning Incorporated,36.39,30779076257.629074,17.1882298,2.18257492,2.1774,1.2784,11.46838895,30924100000,845811000
LYB,LyondellBasell Industries NV,94.46,30758486594.41361,7.41243551,0.58944762,12.9232,16.7545,5.64045262,36088600000,325624000
ON,ON Semiconductor Corporation,71.02,30710720003.79856,19.11222954,4.09678498,3.9818,2.2749,10.52997769,28968600000,432424000
PEG,Public Service Enterprise Group Incorporated,61.1,30485829501.782948,44.5154185,3.19038097,1.3719,-1.2857,17.72641928,47799000000,498950000
OKE,"ONEOK, Inc.",67.28,30071054586.302467,18.93399184,1.29524986,3.6121,3.3496,12.05238644,36803500000,446954000
PPG,"PPG Industries, Inc.",127.65,30001245914.014137,29.39614976,1.70694596,4.3492,4.32,16.47261726,35595100000,235027000
GPN,Global Payments Inc.,110.29,29822542984.682728,503.16964286,3.48166176,0.2284,3.2876,11.32448272,41735400000,270401000
APTV,Aptiv PLC,109.83,29758391931.245773,95.80698259,1.76535059,1.1555,1.9431,17.03096846,23307700000,270950000
URI,"United Rentals, Inc.",429.04,29758040924.882683,14.58449526,2.6026011,29.8759,29.6592,7.7491846,36925300000,69359600
NDAQ,"Nasdaq, Inc.",59.65,29304824621.142975,26.8102455,4.8295053,2.2863,2.26,18.17686932,35650000000,491280000
WEC,"WEC Energy Group, Inc.",92.62,29215546018.7427,21.26289251,3.1743525,4.3741,4.111,17.53223332,44791600000,315435000
CPNG,"Coupang, Inc.",16.48,29174513219.581085,,1.47185905,-0.3418,-1.0834,,28938600000,1770302990
GWW,"W.W. Grainger, Inc.",575.32,29070494208.92125,20.33074483,1.97622381,28.2897,19.9808,13.73120955,27618600000,50529300
MBLY,Mobileye Global Inc.,36.12,28965058008.6,,18.55355366,-0.1833,-0.108,67.45793991,,801911905
ENPH,"Enphase Energy, Inc.",212.22,28845702490.845062,101.61056297,15.18889138,2.1914,1.0192,70.46407052,40392200000,135924000
DELL,Dell Technologies Inc.,40.01,28652294114.76333,16.91281363,0.28695477,2.4524,7.024,6.11965259,52147900000,716128750
IFF,"International Flavors & Fragrances, Inc.",111.23,28359450653.30872,,2.25879069,-6.8784,1.1029,16.19209809,34136699999.999996,254962000
ES,Eversource Energy (D/B/A),81.37,28341774283.051025,20.13833599,2.39729959,4.0253,3.5416,13.17557847,49079100000,348307000
LEN,Lennar Corporation,99.22,28313414151.722694,6.38137281,0.84872444,15.8316,15.72,,24787000000,291166100
FAST,Fastenal Company,49.43,28311521249.084778,26.59856024,4.12325411,1.894,1.89,18.00919173,27670800000,572760000
HPQ,HP Inc.,28.82,28305441886.981865,9.69968475,0.46970566,3.0478,3.0505,7.2053905,36713800000,982146000
AWK,"American Water Works Company, Inc.",155,28183322299.6752,21.68245464,7.49675761,7.2418,6.9396,21.49366789,35482100000,181828000
VRSK,"Verisk Analytics, Inc.",179.41,28057562004.43336,27.97403686,9.38308855,6.485,4.0786,20.88526471,30332800000,156388000
FERG,Ferguson plc,139.55,27784032534.16798,14.0090252,0.99141699,10.0718,9.6939,9.92494953,26943700000,225827000
ALNY,"Alnylam Pharmaceuticals, Inc.",225.4,27730563897.247696,,29.41515033,-9.7715,-7.1998,,24779000000,123028000
WTW,Willis Towers Watson Public Limited Company,249.81,27038839291.79466,10.9270628,3.13757162,22.9504,32.7287,15.62389834,26317300000,108238000
CEG,Constellation Energy Corporation,82.4,26946276668.339108,,1.25057025,-0.4616,-0.6276,10.9355869,31620100000,327017895
EFX,"Equifax, Inc.",217.35,26613079754.30168,37.93499044,5.19739483,5.8085,6.021,19.08017349,26794300000,122443000
VEEV,Veeva Systems Inc.,170.54,26551126075.4529,70.20309557,13.39585963,2.5614,2.6337,46.65664873,24295200000,155688431
EBAY,eBay Inc.,48.89,26530601326.66265,,2.72692191,-5.4793,-3.3405,10.93636148,24979900000,542659000
MTB,M&T Bank Corporation,153.49,26496562516.09395,13.44612181,3.07195881,11.5875,11.53,,32984800000.000004,172626951
CBRE,CBRE Group Inc,83.67,26435412118.39309,13.94903301,0.87954661,6.1473,5.4062,13.22602963,25727200000,315949000
ZBH,"Zimmer Biomet Holdings, Inc.",125.83,26405725213.905228,95.45040946,3.7010589,1.3238,1.9088,14.86799597,27162200000,209852000
IT,"Gartner, Inc.",333.22,26332504696.808697,35.74878186,5.03070067,9.384,9.2085,24.83984827,25313900000,79024400
CDW,CDW Corporation,194.03,26269913112.01542,25.40748725,1.11123939,7.7105,7.0363,16.81883191,27830500000,135391000
CQP,"Cheniere Energy Partners, LP",53.82,26050582233.93498,,1.71696669,-0.5227,3.0021,24.88065329,41124200000,484032000
EIX,Edison International,68.14,26020940896.229855,36.43205427,1.58806653,1.8943,1.9974,11.69400979,57119600000,381875000
SGEN,Seagen Inc.,139.98,25989372606.470894,,13.94480412,-3.4618,-3.7049,,23576200000,185665000
ULTA,"Ulta Beauty, Inc.",507.97,25845904317.099216,22.23067285,2.67737802,22.8851,17.9763,14.25323698,23043500000,50880800
YUMC,"Yum China Holdings, Inc.",61.51,25737466043.444073,30.93675418,2.69968072,2.0348,2.2811,13.48224806,18678900000,418427000
FANG,"Diamondback Energy, Inc.",145.34,25579634890.1766,6.14888313,2.73260318,24.6152,12.3027,4.14106515,27047200000,175999000
TROW,"T. Rowe Price Group, Inc.",113.46,25354317908.582848,17.38162143,4.02545065,6.7224,6.7,9.4838626,,223465000
CCEP,Coca-Cola Europacific Partners plc,55.32,25269581136.77981,15.88477841,1.39022653,3.4716,2.5398,10.81486722,,456789000
FRC,FIRST REPUBLIC BANK,140.16,25173118697.13411,17.07370231,3.83757432,8.316,8.25,,37056800000,179603000
HZNP,Horizon Therapeutics Public Limited Company,110.05,24977233587.857273,45.48369856,7.03521636,2.5092,2.2679,22.0894102,15115500000,226963000
DAL,"Delta Air Lines, Inc.",38.4,24621632521.518204,18.93702327,0.49080562,2.0635,2.06,8.3499601,45001300000,641188000
TSCO,Tractor Supply Company,222.79,24610105390.844864,23.24529779,1.76793448,9.7816,9.71,16.18428774,29102800000,110463000
FITB,Fifth Third Bancorp,35.8,24572982176.941826,10.76519353,2.6337824,3.3804,3.35,,40158500000,686396000
HRL,Hormel Foods Corporation,44.78,24468875089.440857,24.67161308,1.98217712,1.835,1.8196,18.00091286,28217100000,546424000
HIG,"Hartford Financial Services Group, Inc. (The)",76.55,24350472829.873417,13.34598906,1.12825417,5.8296,6.6196,,24901000000,318099000
TTD,"The Trade Desk, Inc.",49.22,24094320635.03599,,17.52974729,-0.0201,0.2763,301.24038045,28838300000,489523000
RJF,"Raymond James Financial, Inc.",111.75,24033356425.15657,15.57900312,2.03285262,7.3588,6.9763,,,215064000
CRWD,"CrowdStrike Holdings, Inc.",101.37,23760904569.251274,,11.98865621,-0.7662,-1.0337,,36012000000,234398000
VMC,Vulcan Materials Company (Holding Company),178.38,23707925749.75765,40.12408119,3.31695783,4.4692,5.0247,16.87944724,25808400000,132907000.00000001
ACGL,Arch Capital Group Ltd.,63.99,23668173414.84156,20.52481497,2.74764398,3.1982,5.229,,20583600000,369873000
FE,FirstEnergy Corp.,41.3,23613405816.72326,18.78702269,1.97484174,2.1985,2.2637,15.35939375,42609000000,571753000
GPC,Genuine Parts Company,166.61,23518892275.50271,19.9291419,1.10320377,8.3729,6.232,13.44096583,24647100000,141161000
DTE,DTE Energy Company,114.33,23509583494.964165,19.65088921,1.13877629,5.8022,4.665,12.59621954,42217700000,205629000
RPRX,Royalty Pharma plc,38.64,23463067405.25244,33.52292313,10.51009488,1.1604,1.494,35.05444021,34233000000,441104000
DDOG,"Datadog, Inc.",73.84,23448618217.3083,,15.93049392,-0.0437,-0.0671,656.8740029,27124000000,317559986
FTV,Fortive Corporation,66.23,23432721677.920307,35.00679135,4.22933711,1.9374,1.629,19.41478524,23724100000,353808000
K,Kellogg Company,68.09,23237833553.86243,15.55095468,1.56038382,4.3817,4.3382,14.87951383,31321000000,341281000
VRSN,"VeriSign, Inc.",216.19,22919698201.28364,29.06005639,16.76458301,7.5257,6.997,24.78789358,19412500000,106016000
PFG,Principal Financial Group Inc,93.39,22850927468.82816,4.51284986,1.26968614,20.9314,6.2682,,22519300000,244683000
SIRI,Sirius XM Holdings Inc.,5.87,22831584559.814186,20.2739726,2.60977225,0.2956,0.3191,12.71913332,32777300000.000004,3889540000
ANSS,"ANSYS, Inc.",261.56,22785077601.507484,49.92137482,11.50002494,5.3831,5.1602,32.9287271,19631000000,87112200
BAX,Baxter International Inc.,45.14,22756011019.06391,,1.57286296,-4.7112,2.5276,12.26610028,42471400000,504121000
TSN,"Tyson Foods, Inc.",64.1,22487892271.055996,7.23318549,0.43663676,9.163,9.0955,5.73984218,31232200000,350825319.5
AEE,Ameren Corporation,86.91,22468163288.459393,21.8190009,3.03422881,4.0133,3.8432,13.2648904,35970700000,258522000
IR,Ingersoll Rand Inc.,55.31,22396443211.632053,36.29368805,3.98100466,1.5531,1.1204,20.14151917,19067700000,404926000
LH,Laboratory Corporation of America Holdings,251.12,22249231883.47558,13.57251126,1.51159732,18.8739,24.3826,8.37072564,24456400000,88600000
DASH,"DoorDash, Inc.",56.56,21957547180.996758,,3.73573153,-2.4142,-1.3894,,15818700000,388217000
ETR,Entergy Corporation,107.69,21913154927.755768,17.64514925,1.68301443,6.1876,5.5406,13.09245105,47507100000,203484000
PPL,PPL Corporation,29.45,21684573272.05198,31.26846771,3.07728655,0.949,0.1687,13.95059753,32134800000,736318000
RF,Regions Financial Corporation,23.2,21679137976.512817,10.278034,2.93240112,2.2953,2.28,,22238000000,934446000
MLM,"Martin Marietta Materials, Inc.",347.37,21568444977.918667,25.72176537,3.51725561,13.5605,11.3147,15.30116556,24734400000,62090700
ZM,"Zoom Video Communications, Inc.",73.5,21485685165.35401,32.48346257,5.15175824,2.3407,4.4962,19.66748408,20122900000,292322111
HBAN,Huntington Bancshares Incorporated,14.84,21410176640.25849,10.3524381,2.77444976,1.4741,1.45,,27912800000,1442730000
RBLX,Roblox Corporation,35.53,21346986112.835766,,10.18872315,-1.312,-0.8392,,19883000000,600816302
BMRN,BioMarin Pharmaceutical Inc.,114.7,21316870827.249084,281.83129056,11.01297281,0.4546,-0.3504,299.13687283,15541300000,185849000
PWR,"Quanta Services, Inc.",149.1,21306561996.789997,51.18755119,1.33598314,3.023,3.3428,17.47072538,22762500000,142901000
TECK,Teck Resources Ltd,41.34,21184106518.056324,6.66284763,1.45380238,6.1175316,4.19666292,3.65365886,21806622800,512299999.99999994
LUV,Southwest Airlines Company,35.47,21060384917.916664,45.85020243,0.90394558,0.9088,0.87,7.87223761,17139000000,593752000
STLD,"Steel Dynamics, Inc.",119.09,20908799405.853863,5.71781595,0.93971735,20.9385,20.92,3.98188764,17964000000,175571000
CFG,"Citizens Financial Group, Inc.",42.29,20827443426.776623,10.60068076,2.35369909,4.1046,4.1,,35922000000,492491000
ALGN,"Align Technology, Inc.",265.82,20763825941.46493,41.63766569,5.45036407,6.5,9.6902,22.23692139,15233800000,78112400
HPE,Hewlett Packard Enterprise Company,16.01,20521887705.01549,24.83458994,0.74418102,0.6635,0.6566,6.65638958,27259900000,1281820000
BIP,Brookfield Infrastructure Partners LP Limited Partnership,34.92,20509554616.59647,51.00145138,1.15207663,0.689,1.0988,12.45352847,64336800000,458272000
QSR,Restaurant Brands International Inc.,66.59,20370189619.03846,22.73446477,5.00743276,2.88035586,2.66811688,20.22021803,39194835640,305905001
STE,STERIS plc (Ireland),203.23,20287019190.502476,,4.31338829,-0.0844,2.4804,17.87575409,19578300000,99823000
NU,Nu Holdings Ltd.,4.4,20247881604.210526,,6.82186265,-0.0287,-0.0358,,13079800000,4685563942
CAH,"Cardinal Health, Inc.",77.24,20247233612.97542,,0.11165322,-3.9712,-3.3441,9.62258013,19979600000,262134000
HOLX,"Hologic, Inc.",82.15,20195244490.975964,16.17497656,4.29987711,5.1658,5.1291,10.11728113,16488300000,245834000
HEI,Heico Corporation,169.31,20177840866.38173,66.81322132,10.67278938,2.5854,2.5477,35.5484167,23134200000,136644300
DOV,Dover Corporation,143.31,20114125146.8306,18.0128468,2.48493025,8.1095,7.7359,14.37828687,20026400000,140354000
MKC,"McCormick & Company, Incorporated",74.68,20005121263.00699,29.49637437,3.16374396,2.543,2.5241,22.39845088,28054900000,268101400
NTRS,Northern Trust Corporation,95.38,19878685472.20782,15.83551913,2.61551401,6.1568,6.14,,-7482370000,208416000
PODD,Insulet Corporation,286.2,19876217925.96567,1206.16814533,15.94051235,0.2446,0.245,163.18459695,16609200000,69448700
LCID,"Lucid Group, Inc.",11.75,19745065864.141415,,57.74744166,-1.1366,-6.4116,,22619300000,1680430000
