Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Free Cash Flow (Annual YoY Growth)
EPD,Enterprise Products Partners L.P.,25.53,-3.76931775,-1,Buy,4648269,118670307.57,55542299049.48737,11.47193635,2.3197,6911,Industrial Services,126.99294185
DELL,Dell Technologies Inc.,39.95,-0.89307864,-0.36,Sell,1086211,43394129.45000001,28609326415.516,16.91281363,2.4524,133000,Electronic Technology,-19.45308311
SWN,Southwestern Energy Company,5.44,-2.15827338,-0.12,Strong Sell,15186021,82611954.24000001,6003467594.762591,4.06462461,1.3806,938,Energy Minerals,189.94565217
DOW,Dow Inc.,57.8434,-1.91046295,-1.1266,Buy,2698762,156105569.87080002,40707830225.73291,9.44744389,6.2947,,Process Industries,2.61437908
KR,Kroger Company (The),44.135,-2.03107658,-0.915,Strong Sell,2290408,101087157.08,31592798995.13807,14.10368793,3.2368,420000,Retail Trade,-5.3858339
HON,Honeywell International Inc.,206.28,-0.88886753,-1.85,Sell,1085306,223876921.68,138686640206.417,26.62428204,7.8904,99000,Electronic Technology,-2.99886835
AMAT,"Applied Materials, Inc.",108.9473,-3.15795556,-3.5527,Buy,3677671,400672325.7383,91966748819.32098,15.12605042,7.487,33000,Producer Manufacturing,-3.39338081
TECK,Teck Resources Ltd,41.445,0.25399129,0.105,Buy,1355378,56173641.21,21237912303.84239,6.62558041,6.1175316,10600,Energy Minerals,84.39218388
FANG,"Diamondback Energy, Inc.",146.29,-3.09353471,-4.67,Buy,1405427,205599915.83,25746833549.49728,6.14888313,24.6152,870,Energy Minerals,852.12355212
CHK,Chesapeake Energy Corporation,86.405,-1.40917389,-1.235,Strong Sell,755518,65280532.79,11575776757.302658,4.3333152,22.8798,1300,Energy Minerals,4686.36363636
LUMN,"Lumen Technologies, Inc.",5.21,-1.51228733,-0.08,Sell,13455229,70101743.09,5390176159.508508,2.64897346,2.0087,36000,Communications,28.8372093
LYB,LyondellBasell Industries NV,94.43,-1.17216117,-1.12,Buy,636974,60149454.82000001,30748717860.58096,7.41243551,12.9232,19100,Process Industries,283.18462594
DHI,"D.R. Horton, Inc.",95.474,-1.08371322,-1.046,Buy,1616566,154340022.284,32785134704.736824,5.98462302,16.2545,13237,Consumer Durables,54.90636704
TGT,Target Corporation,169.14,0.37386505,0.63,Buy,2092042,353847983.88,77856845934.68826,23.07155179,7.3609,450000,Retail Trade,-35.48755714
SBUX,Starbucks Corporation,108.285,-0.67418822,-0.735,Buy,3552939,384729999.615,124289524460.08945,38.47945786,2.8456,402000,Consumer Services,-30.39019843
KMI,"Kinder Morgan, Inc.",18.165,-2.65273312,-0.495,Sell,8164707,148311902.655,40830232067.13826,16.604378,1.1238,,Industrial Services,
D,"Dominion Energy, Inc.",62.66,0.33626902,0.21,Buy,2549239,159735315.73999998,52213025140.71576,22.49153641,2.801,17100,Utilities,-83.33333333
CTRA,Coterra Energy Inc.,24.86,-1.8555073,-0.47,Sell,2515315,62530730.9,19601298167.403873,5.14795545,4.943,936,Energy Minerals,363.96031385
ADBE,Adobe Inc.,364.105,-1.78171617,-6.605,Buy,1527321,556105212.705,166687260713.3234,36.69851012,10.1235,29239,Technology Services,7.46875908
PCG,Pacific Gas & Electric Co.,15.9609,-0.61706102,-0.0991,Buy,4031619,64348267.6971,31725481044.290382,19.107674,0.8856,26000,Utilities,79.76510067
REGN,"Regeneron Pharmaceuticals, Inc.",736.51,-0.85080032,-6.32,Buy,233190,171746766.9,80193999079.58177,15.6596256,50.3088,10368,Health Technology,225.89967557
NKE,"Nike, Inc.",126.68,-0.66650984,-0.85,Buy,3239703,410405576.04,196438338050.858,36.01423287,3.59,79100,Consumer Non-Durables,-25.69607514
SLB,Schlumberger N.V.,56.61,-0.63191153,-0.36,Buy,3605007,204079446.27,80272629289.27489,23.7989807,2.429,,Industrial Services,
AEP,"American Electric Power Company, Inc.",93.12,0.053723,0.05,Sell,1552883,144604464.96,47850988378.34061,19.31914894,4.8331,16688,Utilities,23.93166053
APA,APA Corporation,44.375,-2.96304395,-1.355,Sell,3028957,134409966.875,14267086439.399738,4.36846831,10.4986,2253,Energy Minerals,2670.93023256
MOS,Mosaic Company (The),48.245,-2.55503939,-1.265,Buy,1926144,92926817.28,16426506159.747225,4.84039693,10.3345,12525,Process Industries,118.05825243
LRCX,Lam Research Corporation,481.415,-0.30338801,-1.465,Buy,872509,420038920.235,65655064845.0528,12.98130819,37.3122,17700,Producer Manufacturing,-21.16124798
CF,"CF Industries Holdings, Inc.",82.765,-0.37915262,-0.315,Sell,1373026,113638496.89,16237621709.095392,5.4531611,15.3108,3000,Process Industries,154.20258621
FISV,"Fiserv, Inc.",106.4,-0.08451498,-0.09,Buy,1166303,124094639.2,67566985949.29102,33.44430137,3.2139,44000,Finance,-10.93563766
EXC,Exelon Corporation,41.895,0.49172463,0.205,Neutral,1667948,69878681.46000001,41632819903.19274,19.25635104,2.1662,31518,Utilities,-30.31733543
CAR,"Avis Budget Group, Inc.",192.29,-1.73744187,-3.4,Buy,231273,44471485.17,7973576383.840001,3.64269599,54.8706,21000,Finance,-51.75801448
NSC,Norfolk Southern Corporation,239.0117,0.08446045,0.2017,Sell,621604,148570628.7668,54512931364.64017,17.19381106,,,Transportation,-18.34829443
AMD,"Advanced Micro Devices, Inc.",73.0817,-3.07466844,-2.3183,Buy,35408381,2587704677.7276998,117833725651.15916,45.17675255,1.6877,15500,Electronic Technology,314.41441441
MMM,3M Company,112.95,-1.99566161,-2.3,Sell,4135418,467095463.1,62432312805.1796,11.35971613,10.1711,,Producer Manufacturing,-34.33601094
ADI,"Analog Devices, Inc.",169.17,-0.97172628,-1.66,Buy,1357248,229605644.16,86157593224.87221,32.41063975,5.3091,24450,Electronic Technology,57.90353154
HES,Hess Corporation,152.55,-2.368,-3.7,Buy,875760,133597188.00000001,47032457354.784,21.75789899,,,Energy Minerals,6.64916885
MPLX,MPLX LP,34.525,-0.93256815,-0.325,Buy,1287020,44434365.5,34636960293.3056,9.22152837,3.7806,5836,Industrial Services,27.65096793
DAL,"Delta Air Lines, Inc.",38.555,-0.45184611,-0.175,Buy,5151373,198611186.015,24721016715.28996,18.93702327,2.0635,,Transportation,
BIP,Brookfield Infrastructure Partners LP Limited Partnership,34.8,-0.96755834,-0.34,Neutral,126068,4387166.4,20439075047.46727,51.00145138,0.689,44000,Utilities,-33.36483932
MMC,"Marsh & McLennan Companies, Inc.",172.09,-0.02323825,-0.04,Buy,496730,85482265.7,85358275721.79852,28.54229194,6.0953,,Finance,-4.07632264
MRO,Marathon Oil Corporation,27.33,-3.46167432,-0.98,Sell,5256302,143654733.66,17356402921.869305,5.43691185,5.2194,1531,Energy Minerals,1496.92307692
WM,"Waste Management, Inc.",153.44,0.54387,0.83,Sell,970939,148980880.16,62983603606.84306,28.35036225,5.4124,48500,Industrial Services,37.43647657
URI,"United Rentals, Inc.",433.71,-0.08753945,-0.38,Buy,360901,156526372.70999998,30081950236.64662,14.58449526,29.8759,24600,Finance,51.32382892
STLD,"Steel Dynamics, Inc.",119.42,0.41200706,0.49,Buy,1068742,127629169.64,20966737971.677456,5.71781595,20.9385,,Non-Energy Minerals,196.47799435
TJX,"TJX Companies, Inc. (The)",81.475,-0.50677738,-0.415,Buy,2266173,184636445.175,94144699951.16315,28.55299861,,340000,Retail Trade,-43.54336551
GOLD,Barrick Gold Corporation,19.445,-1.14387392,-0.225,Buy,8973570,174491068.65,34262090698.653873,19.33370167,0.97905074,21300,Non-Energy Minerals,-33.82328873
SCCO,Southern Copper Corporation,74.74,0.21453473,0.16,Buy,972375,72675307.5,57781384111.75624,22.44357508,3.323,14700,Non-Energy Minerals,55.15652095
TSN,"Tyson Foods, Inc.",64.15,-2.3889227,-1.57,Sell,1733538,111206462.7,22505433528.67773,7.23318549,9.163,142000,Consumer Non-Durables,-69.59331053
SRE,DBA Sempra,161.54,-0.1792004,-0.29,Buy,749332,121047091.28,50777413814.50138,22.72095472,7.1451,15390,Utilities,39.04833837
KHC,The Kraft Heinz Company,40.195,1.2723608,0.505,Buy,3376948,135736424.86,49236066712.37151,40.35997559,0.9921,36000,Consumer Non-Durables,2.90791599
BKNG,Booking Holdings Inc. Common Stock,2446,-0.75106208,-18.51,Buy,195305,477716030,94878840364.4278,40.46688199,61.2038,20300,Consumer Services,1351.74129353
CRM,"Salesforce, Inc.",165.55,0.6260637,1.03,Buy,5211421,862750746.5500001,165550004298.74542,592.86486486,0.2787,73541,Technology Services,23.63340784
FIS,"Fidelity National Information Services, Inc.",74.3,-1.36731714,-1.03,Neutral,2373445,176346963.5,44088094619.91504,49.13894325,1.5417,65000,Commercial Services,7.44197176
AER,AerCap Holdings N.V.,63.1,-1.31373162,-0.84,Buy,314466,19842804.6,15514998126.679699,,-4.6664,736,Finance,101.13293291
MDLZ,"Mondelez International, Inc.",64.465,-0.39400494,-0.255,Sell,3811307,245695905.75500005,88034600214.2134,28.77595483,2.2623,79000,Consumer Non-Durables,2.41857465
EIX,Edison International,68.31,-0.62554553,-0.43,Buy,621267,42438748.77000001,26085859592.3314,36.43205427,1.8943,13003,Utilities,-30.15873016
HPQ,HP Inc.,28.8899,-1.16353062,-0.3401,Buy,2651195,76592758.4305,28374093878.23447,9.69968475,3.0478,58000,Electronic Technology,-36.98301013
VST,Vistra Corp.,22.51,-0.70577856,-0.16,Sell,1107144,24921811.44,8957933117.192764,,-0.9538,5060,Utilities,-217.15374841
VTRS,Viatris Inc.,11.91,0.16820858,0.02,Buy,4315371,51396068.61,14443073649.10597,18.02334394,0.6628,37000,Health Technology,158.86933657
OVV,Ovintiv Inc. (DE),49.46,-3.624318,-1.86,Sell,1349457,66744143.22,12279041139.49104,3.64105911,14.3518,1713,Energy Minerals,851.17647059
AR,Antero Resources Corporation,28.4533,-2.82342896,-0.8267,Strong Sell,3603165,102521934.6945,8539872484.853267,4.75286097,6.6705,519,Energy Minerals,127.73901946
NEM,Newmont Corporation,52.92,-0.75018755,-0.4,Buy,2564554,135716197.68,42004655443.006,42.28054873,1.2628,31000,Non-Energy Minerals,-26.64804469
X,United States Steel Corporation,28.5,-1.144641,-0.33,Buy,2234821,63692398.5,6676664663.267431,2.40131935,13.2157,24540,Non-Energy Minerals,649.74446337
GD,General Dynamics Corporation,229.673,0.95960262,2.183,Sell,664498,152617249.154,63056489570.37303,18.65069605,12.3208,,Electronic Technology,2.39361702
ACI,"Albertsons Companies, Inc.",21.1356,-0.25672487,-0.0544,Buy,1076124,22744526.4144,11322711697.671503,9.31510462,2.4346,290000,Retail Trade,-11.42967979
XEL,Xcel Energy Inc.,68.05,-0.555312,-0.38,Sell,1587629,108038153.44999997,37240258829.9072,21.56906008,3.1726,,Utilities,
NOC,Northrop Grumman Corporation,440.15,0.57123272,2.5,Sell,933677,410957931.5499999,67366442173.77162,13.88615668,31.7086,95000,Electronic Technology,-31.87732342
UAL,"United Airlines Holdings, Inc.",48.465,-0.54381285,-0.265,Buy,3792180,183788003.7,15844558413.855427,22.46139664,,92800,Transportation,3217.5
ED,"Consolidated Edison, Inc.",95.25,0.35823412,0.34,Buy,490361,46706885.25,33800688148.016544,19.91272056,4.7816,13871,Utilities,28.69666861
NXPI,NXP Semiconductors N.V.,180.675,-0.47647901,-0.865,Buy,1750326,316240150.05,46819188588.83222,18.08311419,10.1299,31000,Electronic Technology,8.94736842
BDX,"Becton, Dickinson and Company",250.79,-0.40902232,-1.03,Neutral,424954,106574213.66,71291567487.38345,42.03866315,6.0319,77000,Health Technology,-51.89690125
PYPL,"PayPal Holdings, Inc.",80.3657,-1.78944153,-1.4643,Buy,6134358,492991974.7206,91619126980.9425,41.61411717,1.9786,30900,Commercial Services,8.90136327
WMB,"Williams Companies, Inc. (The)",31.18,-1.04728658,-0.33,Strong Sell,3417808,106567253.44,37987836603.64646,19.22983034,1.6422,4783,Energy Minerals,21.47681225
ICE,Intercontinental Exchange Inc.,107.0801,-0.79664628,-0.8599,Buy,888975,95191531.8975,59809766363.55914,23.90009521,4.5405,8858,Finance,10.09723261
CARR,Carrier Global Corporation,43.7,0.18340211,0.08,Buy,1288448,56305177.6,36544625545.33013,10.54056013,4.2308,58000,Producer Manufacturing,37.17391304
WLK,Westlake Corporation,119.44,-1.03571133,-1.25,Buy,189870,22678072.8,15233091883.171099,5.884877,20.6502,14550,Process Industries,124.87046632
KLAC,KLA Corporation,390.81,-2.14337582,-8.56,Sell,733610,286702124.1,55384937038.06359,16.41835837,24.4606,14000,Electronic Technology,53.8540533
ADP,"Automatic Data Processing, Inc.",222.1,0.58876812,1.3,Sell,2062083,457988634.3,92133253278.553,29.34726265,7.566,60000,Technology Services,0.35681202
EMR,Emerson Electric Company,89.96,0.59264229,0.53,Sell,1563181,140623762.76,53202346378.01006,16.50761421,5.4478,85500,Electronic Technology,-20.14028056
TX,Ternium S.A. Ternium S.A.,39.52,-1.8136646,-0.73,Buy,258811,10228210.72,7901384925,,13.7335,20142,Non-Energy Minerals,83.71107576
ADM,Archer-Daniels-Midland Company,82.212,-1.69556379,-1.418,Strong Sell,2607968,214406265.21600005,45161864111.54687,10.85779572,,,Process Industries,-60.21009952
HPE,Hewlett Packard Enterprise Company,16.035,-0.65055762,-0.105,Sell,6036560,96796239.6,20553933126.166355,24.83458994,0.6635,60200,Electronic Technology,-56.33719205
SYK,Stryker Corporation,250.19,-1.5658811,-3.98,Neutral,626835,156827848.65,94679383914.92342,39.54476149,6.5003,46000,Health Technology,-1.86379928
PCAR,PACCAR Inc.,109.07,-1.41010576,-1.56,Buy,1492757,162815005.98999998,37931005476.19624,12.81596812,8.6431,,Producer Manufacturing,195.45044232
BLDR,"Builders FirstSource, Inc.",77.48,0.19397388,0.15,Buy,768195,59519748.6,11403173890.266651,4.73142885,16.4915,28000,Retail Trade,924.197047
