Ticker,Description,"Change 1m, %","Change 5m, %","Change 15m, %","Change 1h, %","Change 4h, %",Change %,"Change 1W, %","Change 1M, %",3-Month Performance,6-Month Performance,YTD Performance,Yearly Performance,1-Year Beta,Volatility
BNTX,BioNTech SE,-0.0357705,-0.17146531,-0.13936037,-0.13936037,-0.50201161,-2.73562578,-2.73562578,-6.98309147,-2.89109737,-17.1921299,-8.63737413,-9.26623377,0.7615526,2.87146438
PEP,"PepsiCo, Inc.",0.01476451,-0.07670522,-0.04131744,-0.04131744,-0.26501767,-0.15917934,-0.15917934,-6.26037861,-6.40543827,-3.27278958,-6.22404341,0.49848674,0.5438876,1.26690686
MU,"Micron Technology, Inc.",0,-0.01610825,0.06448493,0.06448493,0.14520813,-2.81822452,-2.81822452,24.18967587,12.67017608,-0.688,22.76503165,-19.77510663,1.1457356,3.24927255
IBM,International Business Machines Corporation,0.0074085,0.00007408,-0.01851646,-0.01851646,-0.37270748,0.44646179,0.44646179,-4.18766414,-2.35804702,2.40479442,-4.33026223,1.35145281,0.64932156,1.58978952
MRNA,"Moderna, Inc.",-0.00551663,-0.19546844,-0.03138152,-0.03138152,-1.01572739,-4.24346448,-4.24346448,0.94365884,17.1512567,8.09288184,0.25711916,20.91697232,1.2421812,4.49779249
MA,Mastercard Incorporated,0.02559819,-0.05788439,0.06528781,0.06528781,-0.3208829,-0.76999171,-0.76999171,6.73511057,11.71813858,6.04285714,6.05497771,3.37000418,1.0340476,1.25338387
PXD,Pioneer Natural Resources Company,0.02393906,-0.06523015,0.03264702,0.03264702,-0.45051875,-1.96040787,-1.96040787,0.6151758,-11.9559387,0.80496578,1.9634379,7.52655468,0.87832445,2.30010475
PM,Philip Morris International Inc,0.01923262,-0.06725596,-0.11524056,-0.11524056,-0.2421772,0.25057826,0.25057826,2.77640549,12.74658574,5.39007092,2.47266279,1.98039216,0.73586494,1.29782082
AMGN,Amgen Inc.,-0.00756249,-0.11887723,-0.11490597,-0.11490597,-0.27351038,-0.95801301,-0.95801301,-4.34815717,-6.81750742,2.14686509,-3.6991605,12.12675742,0.50487477,1.42059058
LOW,"Lowe's Companies, Inc.",0,-0.04929508,-0.03204733,-0.03204733,-0.27052285,0.15309398,0.15309398,1.7867898,2.42424242,6.94510362,0.65015634,-11.04873021,0.97955877,1.6952523
TMO,Thermo Fisher Scientific Inc,-0.00177607,-0.11442764,0.09600171,0.09600171,-0.1215153,-1.81911685,-1.81911685,2.27078756,9.03221435,-4.59819765,1.79020044,1.55342782,0.9687682,2.29509951
KO,Coca-Cola Company (The),-0.00825083,-0.09892012,-0.00825083,-0.00825083,-0.4026956,0.18184824,0.18184824,-4.73196038,0.94952524,-4.64201416,-4.65701699,2.03738003,0.6406932,1.17433014
F,Ford Motor Company,0.03868472,-0.11587486,-0.03865481,-0.03865481,-0.95748755,-2.59984928,-2.59984928,11.1349957,-4.75313191,-16.50516796,9.34856176,-33.10041408,1.4802598,2.78853602
MO,"Altria Group, Inc.",-0.01125619,-0.14613309,-0.23584906,-0.23584906,-0.43712172,0.6327594,0.6327594,-2.82367097,-4.30999569,0.95295455,-2.866171,-11.07247247,0.46954253,1.58535315
UNP,Union Pacific Corporation,0.00621272,-0.08813744,-0.06828905,-0.06828905,-0.53756797,-0.59291467,-0.59291467,-2.83961945,2.02332657,-9.99821061,-2.94273723,-17.88163265,0.7250913,1.5612044
MCD,McDonald's Corporation,-0.00922543,-0.03069565,0.12748503,0.12748503,0.01291847,-0.54686927,-0.54686927,2.82320798,-0.99382513,3.80003831,2.82320798,8.388,0.6566887,0.86966176
HCA,"HCA Healthcare, Inc.",-0.00786782,-0.13554661,0.0669265,0.0669265,0.55980852,-0.2198061,-0.2198061,5.93848975,16.12004385,18.97318295,5.18889395,11.00388629,1.0970644,2.52937662
GILD,"Gilead Sciences, Inc.",0.02414584,-0.07839354,-0.15666426,-0.15666426,-0.12657465,-1.07488355,-1.07488355,-3.51776354,5.83950933,36.07688517,-2.64456982,22.94789966,0.5366536,1.83395866
LNG,"Cheniere Energy, Inc.",-0.02673082,-0.16350229,-0.10350239,-0.10350239,-0.45911238,-0.41261813,-0.41261813,-0.21339024,-15.80013504,2.17821782,0.59831933,35.17615176,0.64007235,1.48322148
DIS,Walt Disney Company (The),0.00212736,-0.12433962,-0.15025859,-0.15025859,-0.38944168,-1.26894285,-1.26894285,24.4820442,0.4178273,2.28884895,21.54416723,-20.01331262,1.2047673,1.76514307
ET,Energy Transfer LP,-0.03813883,0,0.03816794,0.03816794,-0.03813883,-1.87200599,-1.87200599,10.44566133,1.23474903,15.30255057,10.16722689,35.71325052,0.802603,2.37442573
DVN,Devon Energy Corporation,-0.03181167,-0.21433675,-0.2222575,-0.2222575,-0.80492424,-3.72192431,-3.72192431,2.16338807,-20.1414411,2.95003277,3.47554751,19.60544347,0.94145477,3.90003184
NUE,Nucor Corporation,0.0480048,-0.1198107,-0.2876605,-0.2876605,-0.88574486,-0.13663331,-0.13663331,26.42591609,23.43851852,25.98624027,26.42591609,70.2165475,1.4203342,2.65181328
ACN,Accenture plc,0.01089641,-0.04356191,0.00363187,0.00363187,-0.21960023,-0.69426912,-0.69426912,3.18730325,-4.08102836,-8.85030456,2.28268945,-17.53668763,1.2822845,1.51476346
SCHW,Charles Schwab Corporation (The),-0.04606475,-0.09208709,-0.28230042,-0.28230042,0.25742574,1.74052751,1.74052751,-8.73168388,-5.10739261,10.80489939,-9.07024052,-14.57958633,1.19757,3.77871415
TXN,Texas Instruments Incorporated,0.00863508,-0.04890398,0.1758736,0.1758736,0.14122665,-0.8787948,-0.8787948,5.13255054,7.06360947,-2.42121229,3.87513455,-0.0632875,0.9566998,1.75947971
DE,Deere & Company,0.03853656,-0.08290106,0.02608304,0.02608304,-0.07106647,0.89315606,0.89315606,-1.59646422,6.00879397,25.1156515,-1.42172897,13.3814361,0.99719495,1.85406699
DUK,Duke Energy Corporation (Holding Company),0.01973165,-0.06899951,-0.16740522,-0.16740522,-0.55900006,-0.18704469,-0.18704469,-1.55354889,8.3573795,-7.33869494,-1.75387597,-1.74435507,0.5647183,0.97855095
DHR,Danaher Corporation,-0.02852524,-0.04943342,-0.03232738,-0.03232738,-0.15194682,-1.17678021,-1.17678021,-0.96827669,3.5862069,-8.9097588,-1.8520593,-3.4491625,1.0927129,1.55401643
LIN,Linde plc,0.02773156,-0.06464721,-0.0369515,-0.0369515,-0.41413584,-0.02463813,-0.02463813,-0.47826354,6.77587001,8.24996665,2.18780495,5.61556481,0.8076819,1.34493183
PSX,Phillips 66,-0.00938967,-0.15938496,-0.15938496,-0.15938496,-0.04223964,-2.08774027,-2.08774027,2.28670254,-0.5046729,19.64486401,2.95938104,23.56081708,0.6507284,2.5758546
COST,Costco Wholesale Corporation,0.01789585,-0.02782526,-0.00397599,-0.00397599,-0.27360324,-0.07550319,-0.07550319,10.16648412,-0.15683939,-7.72293578,9.80567686,3.96287262,1.0793738,1.04522653
LLY,Eli Lilly and Company,-0.00734516,-0.02790588,0.16021632,0.16021632,-0.48684211,-0.50862321,-0.50862321,-6.96479335,-1.58170199,6.15351028,-7.07147928,43.31550802,0.5758799,2.41158976
CAT,"Caterpillar, Inc.",0.02035139,0.01257572,-0.12809194,-0.12809194,-0.27230582,-0.78816058,-0.78816058,9.55710469,20.04528198,43.16768492,9.0472827,27.65941923,0.9683752,1.0485796
FCX,"Freeport-McMoRan, Inc.",0.01131478,-0.09042613,-0.19173485,-0.19173485,-0.66307035,-1.39446676,-1.39446676,16.30263158,31.18135945,49.30743243,16.45586298,21.34816035,1.2374619,1.92438307
FDX,FedEx Corporation,0.05419173,-0.10042442,-0.36157582,-0.36157582,-1.05043143,-3.11188077,-3.11188077,6.59930716,14.00432232,-21.38386204,5.52094645,-23.43451937,0.9719814,3.29015123
SO,Southern Company (The),-0.0443787,-0.11823825,-0.09608988,-0.09608988,-0.51523627,-0.61764706,-0.63235294,-5.36339448,2.7520146,-10.9500593,-5.3898922,-0.61764706,0.51843554,0.99889012
LMT,Lockheed Martin Corporation,0.00806849,0.01516203,-0.0801803,-0.0801803,-0.20344999,0.32419495,0.32419495,-5.2210734,-5.13137049,7.91536967,-4.61325224,18.50167052,0.6122653,1.54171371
EQT,EQT Corporation,0.07765181,-0.0155159,0.07765181,0.07765181,-0.58623882,-2.16125114,-2.16125114,-4.76411469,-23.95964126,-23.36274976,-1.38261402,56.47547353,0.88074124,2.68163393
RTX,Raytheon Technologies Corporation,0.08140836,-0.04573403,-0.08127603,-0.08127603,-0.23331305,-1.25502008,-1.25502008,-2.54657154,3.16794294,4.90666667,-2.61412021,10.54287962,0.6666865,1.77442382
NVDA,NVIDIA Corporation,-0.00768477,0.0199137,-0.03609271,-0.03609271,-0.56672479,-4.80235699,-4.80235699,32.66046257,40.37361523,6.61570612,30.54339775,-11.92591364,2.0593154,5.23188219
MDT,Medtronic plc.,0,-0.06049607,-0.0725865,-0.0725865,-0.16920474,0.02421894,0.02421894,6.27895008,-5.55682598,-11.44939966,5.93818135,-20.15466409,0.506676,0.92754089
ZIM,ZIM Integrated Shipping Services Ltd.,0.02639916,-0.03640796,0.02639916,0.02639916,-0.07911392,1.74637292,1.74637292,10.15125073,-20.37426409,-62.35586481,9.00978699,-70.18110236,0.9148768,3.74796306
EPD,Enterprise Products Partners L.P.,0.01958864,0.05878895,0.13728182,0.13728182,-0.5647517,-3.76931775,-3.76931775,5.84577114,1.14896989,-3.58761329,6.02159468,7.94926004,0.5328001,4.12087912
DELL,Dell Technologies Inc.,0.02503442,-0.1000125,-0.02502189,-0.02502189,-0.17489069,-0.90548251,-0.90548251,-0.68373943,2.58089368,-9.64713866,-1.51627219,-27.96212804,1.299811,1.43072289
SWN,Southwestern Energy Company,0,-0.18348624,0.18416206,0.18416206,0.09199632,-2.15827338,-2.15827338,-7.00854701,-22.50712251,-20.46783626,-4.56140351,28,1.4132649,3.63466915
DOW,Dow Inc.,0.04323763,-0.14672881,-0.11224314,-0.11224314,-0.77193584,-1.91622859,-1.91622859,14.7846795,21.9738507,11.23076923,14.3083004,-4.72739252,0.77143216,2.44725009
KR,Kroger Company (The),0.01133144,0.01133144,-0.10186757,-0.10186757,-0.59691407,-2.04217536,-2.04217536,-1.00942127,-7.34830989,-5.74540795,-0.7868705,1.14600046,0.71425307,2.14261422
HON,Honeywell International Inc.,-0.00969556,-0.06298755,-0.06298755,-0.06298755,-0.41281414,-0.89847691,-0.89847691,-3.75174988,0.88530203,8.92479932,-4.13200093,2.93442459,0.78847903,1.56674428
AMAT,"Applied Materials, Inc.",0.08724401,-0.05044021,-0.16031513,-0.16031513,-0.56113139,-3.11111111,-3.11111111,11.93263504,20.44198895,3.08303386,9.25127794,-15.89830639,1.6984748,3.99334443
TECK,Teck Resources Ltd,-0.02195946,-0.09428503,-0.250632,-0.250632,-0.22661048,0.24189647,0.24189647,9.57165521,29.8245614,46.58648744,9.36922671,33.76371853,1.4167039,2.52018596
FANG,"Diamondback Energy, Inc.",0.00341915,-0.15027984,-0.1808812,-0.1808812,-0.3339467,-3.15315315,-3.15315315,6.88697178,-8.625,12.97426783,8.32036749,13.10099408,1.1288543,3.31418435
CHK,Chesapeake Energy Corporation,-0.02315351,-0.10410642,0.05793071,0.05793071,0.0463392,-1.42343679,-1.42343679,-8.453428,-16.42401083,-6.77403691,-7.16972009,25.04342162,0.80739874,2.02561118
LUMN,"Lumen Technologies, Inc.",0,-0.03265024,-0.19175455,-0.19175455,-0.47801147,-1.60680529,-1.60680529,-0.28735632,-30.6,-53.19244604,-1.79245283,-56.33389262,1.3016843,3.11890838
LYB,LyondellBasell Industries NV,0.01058985,-0.17968502,-0.10683196,-0.10683196,-0.59993685,-1.20251177,-1.20251177,13.69504998,21.58809892,9.00808314,13.42184309,-0.63052632,0.7691932,1.68700265
DHI,"D.R. Horton, Inc.",-0.02618487,-0.07328308,-0.08374333,-0.08374333,-0.27165395,-1.06713634,-1.06713634,7.12362576,21.6433121,28.27780763,5.35083848,13.31434674,1.1469368,2.24116162
TGT,Target Corporation,0.02365744,-0.12407717,-0.12401819,-0.12401819,-0.16546606,0.35309477,0.35309477,13.46282877,1.6011776,2.87443728,12.75545924,-21.08591162,1.3852905,2.32291541
SBUX,Starbucks Corporation,-0.07388253,0.06473689,0.13882462,0.13882462,0.05085764,-0.75215557,-0.75215557,9.07258065,22.87076993,25.79932566,7.59745426,13.82284873,0.8382205,1.48853576
KMI,"Kinder Morgan, Inc.",0.0275558,-0.13755158,-0.08257638,-0.08257638,0.18214936,-2.73311897,-2.73311897,0.38716814,-0.54794521,0.88938299,0.83333333,5.52325581,0.67829365,3.09392265
D,"Dominion Energy, Inc.",-0.0079783,0.03352276,-0.07175889,-0.07175889,-0.48435763,0.34427542,0.34427542,2.19341161,-10.50414167,-23.61652852,2.19341161,-19.74257172,0.4926133,1.56727214
CTRA,Coterra Energy Inc.,0.05112248,-0.08040201,0.02012072,0.02012072,-0.50040032,-1.87524674,-1.87524674,1.15995116,-20.99491418,-14.29310345,2.70661157,17.13006598,0.90812784,2.06425253
ADBE,Adobe Inc.,0.00549134,-0.00480443,0.12370114,0.12370114,-0.2164265,-1.71023172,-1.71023172,8.27266514,13.50736737,-11.73421187,7.11723895,-26.25434106,1.6756078,2.14647856
PCG,Pacific Gas & Electric Co.,-0.03132832,-0.09392611,-0.2188868,-0.2188868,-0.77736318,-0.65379826,-0.65379826,-1.87576876,5.94289509,43.73873874,-0.2188868,30.24489796,0.7598117,1.09821148
REGN,"Regeneron Pharmaceuticals, Inc.",0.1216669,0.1216669,-0.00814587,-0.00814587,0.39120004,-0.85080032,-0.85080032,2.08180294,-1.79866667,22.75166667,2.0294794,21.07876177,0.675647,2.2532577
NKE,"Nike, Inc.",-0.00789515,-0.07889546,-0.02368172,-0.02368172,0.06715917,-0.68219243,-0.68219243,8.24715836,32.36492841,11.6734262,6.84099536,-12.11490425,1.1975579,1.07365001
SLB,Schlumberger N.V.,0,-0.07942812,0,0,-0.0176616,-0.63191153,-0.63191153,5.89225589,7.41935484,53.37306963,7.09421112,45.45220966,0.9213927,1.51461155
AEP,"American Electric Power Company, Inc.",-0.01073537,-0.10725011,-0.1821884,-0.1821884,-0.65596502,0.07521221,0.07521221,-1.90626646,5.72077185,-5.31666158,-1.85458377,4.47560292,0.55825824,1.39167026
APA,APA Corporation,-0.02052786,-0.15566569,0.09236676,0.09236676,-0.15566569,-3.05291931,-3.05291931,-5.02592117,-4.51453801,22.43551505,-3.39093484,34.06078016,0.81908965,3.41474446
MOS,Mosaic Company (The),0.03732117,-0.03522221,-0.00414508,-0.00414508,-0.98912374,-2.60553424,-2.60553424,9.9156599,-11.45795079,-9.91967121,10.21714286,22.41685707,0.87908447,2.75898856
LRCX,Lam Research Corporation,0.0332713,-0.07374172,0.04679409,0.04679409,-0.32427168,-0.41107522,-0.41107522,14.41708304,16.43946731,-5.02527946,11.90891743,-13.13626675,1.8121827,2.19154644
CF,"CF Industries Holdings, Inc.",0,-0.05435439,-0.01208386,-0.01208386,-0.64241114,-0.38517092,-0.38517092,-2.86384977,-23.37037037,-17.24,-2.27889952,20.58866385,0.42118964,2.27356069
FISV,"Fiserv, Inc.",-0.00939982,-0.09861007,-0.06078559,-0.06078559,-0.28590176,-0.09390553,-0.09390553,5.26367864,3.02120655,-0.38389513,4.59103421,5.96613546,1.0360171,1.453958
EXC,Exelon Corporation,0.01193887,-0.03579952,-0.07157342,-0.07157342,-0.61691778,0.46773807,0.46773807,-3.11126533,7.67352185,-5.38739553,-3.15606936,5.04123179,0.77483994,1.89202217
CAR,"Avis Budget Group, Inc.",-0.03380311,-0.4892064,-0.4376651,-0.4376651,-1.47865307,-1.77065767,-1.77065767,17.26041603,-17.99274744,9.39900973,15.93088475,16.85410334,2.0383945,3.32683054
NSC,Norfolk Southern Corporation,0.01255256,-0.06480475,-0.17957445,-0.17957445,-0.50160263,0.11724802,0.11724802,-2.97459622,3.86185925,-4.03387654,-3.24551819,-11.53988456,0.7920924,1.5895771
AMD,"Advanced Micro Devices, Inc.",0.0004105,0.04914752,0.04298432,0.04298432,-0.47487403,-3.02387268,-3.02387268,12.89177088,18.92331463,-22.89359907,10.7912361,-27.99606105,1.8768508,4.0430523
MMM,3M Company,0.00637563,-0.09977886,-0.10949841,-0.10949841,-0.40811287,-1.99566161,-1.99566161,-5.81220814,-10.90163288,-20.40169133,-7.05233706,-32.92357028,0.9218072,2.96467247
ADI,"Analog Devices, Inc.",0.02068986,-0.04135405,-0.01181893,-0.01181893,-0.28288543,-0.97465316,-0.97465316,3.1305249,16.57707946,-1.07309942,2.17128707,9.76187386,1.029933,1.51847678
HES,Hess Corporation,0.0032788,-0.17020162,-0.13424577,-0.13424577,-0.20939668,-2.4032,-2.4032,7.52714709,5.83315983,37.42002343,8.89388746,69.60849739,1.0036582,2.64074098
MPLX,MPLX LP,0.01448226,-0.05788712,0.10146398,0.10146398,-0.23114707,-0.91822095,-0.91822095,5.14616322,0.81751825,6.90402477,5.4995417,7.36940299,0.6057014,1.86875726
DAL,"Delta Air Lines, Inc.",0,-0.1294666,-0.09066183,-0.09066183,-0.57740888,-0.42602634,-0.42602634,17.36153378,12.33614914,19.76708075,15.98496241,1.19391236,1.3218846,2.95347622
BIP,Brookfield Infrastructure Partners LP Limited Partnership,-0.05743825,-0.05743825,-0.02872738,-0.02872738,-0.85470085,-0.96755834,-0.96755834,12.29428848,-4.73583356,-13,11.57422251,-10.21676228,0.5342748,1.55217016
MMC,"Marsh & McLennan Companies, Inc.",0.0755814,-0.05928047,0.03196281,0.03196281,-0.06966618,-0.07552431,-0.07552431,3.94005318,5.78756381,5.9700573,3.42132163,17.11036971,0.9964924,1.25903474
MRO,Marathon Oil Corporation,-0.03001464,-0.23086758,-0.10314557,-0.10314557,-0.66630296,-3.49699753,-3.49699753,0.92353158,-12.0978121,13.36099585,2.3988006,36.80520781,0.96234816,3.6996337
WM,"Waste Management, Inc.",-0.01056614,-0.12131083,0.06775457,0.06775457,-0.08876434,0.47834349,0.47834349,-2.25650178,-3.59006602,-6.53419481,-2.58560447,4.76906259,0.54605556,1.56516045
URI,"United Rentals, Inc.",0.02652918,-0.1370352,-0.24960604,-0.24960604,-0.08410817,-0.16356055,-0.16356055,21.93461257,35.54137737,37.15859101,21.15739446,36.45036365,1.3860613,1.53953326
STLD,"Steel Dynamics, Inc.",0.11729223,-0.16291407,-0.24625402,-0.24625402,-0.91210614,0.47927352,0.47927352,22.31320368,24.0012452,56.47505565,22.18813906,119.50771492,1.4442937,3.04318259
TJX,"TJX Companies, Inc. (The)",0.0736377,0.00613234,0.15968554,0.15968554,-0.15306435,-0.42740261,-0.42740261,2.43718593,12.37596472,31.00899743,2.2701618,17.28998849,0.8383185,1.07599606
GOLD,Barrick Gold Corporation,-0.02521225,-0.10231362,-0.2817552,-0.2817552,-0.40953357,-1.19471276,-1.19471276,13.12572759,26.2012987,24.42381562,10.80387685,4.99729876,1.0632815,1.64693773
SCCO,Southern Copper Corporation,-0.04013915,-0.24035252,-0.18704075,-0.18704075,-0.43976546,0.20783052,0.20783052,23.75393277,53.1454918,59.0106383,22.59678478,18.06477093,0.74717456,3.36490716
