Ticker,Description,Price,Market Capitalization,Price to Earnings Ratio (TTM),Price to Revenue Ratio (TTM),Basic EPS (TTM),EPS Diluted (FY),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),Total Shares Outstanding
ET,Energy Transfer LP,13.1099,40489601842.86746,9.92202005,0.47177045,1.3537,1.8905,8.83177104,96498900000,3088470000
DVN,Devon Energy Corporation,62.8407,41078964244.03251,6.8719007,2.06848262,9.527,4.185,4.13921531,44703600000,653700000
NUE,Nucor Corporation,166.642,42750954199.84421,5.80720376,1.02840641,28.8052,28.79,3.94656573,36710800000,256543999.99999997
ACN,Accenture plc,275.345,181283971257.33603,25.18232596,2.83936398,11.1543,10.7096,15.72658953,190312000000,658389000
SCHW,Charles Schwab Corporation (The),75.99,141853522224.19522,21.30894982,6.27132156,3.5214,3.5,8.21406429,110646000000,1815850000
TXN,Texas Instruments Incorporated,173.7,157645212064.0761,18.63026514,8.01477132,9.5214,9.406,13.87920821,151010000000,907572000
DE,Deere & Company,421.915,125830764451.5302,17.92794183,2.40522767,23.4613,23.2811,15.1572999,166676000000,298237000
DUK,Duke Energy Corporation (Holding Company),101.39,78076663035.97559,20.43822056,2.79115726,4.9701,4.9441,13.79438449,148713000000,770063000
DHR,Danaher Corporation,262.85,191345005575.34552,27.54585279,6.30235093,9.7935,9.66,19.1550439,213282000000,727963000
LIN,Linde plc,324.62,160485484712.1851,42.95371265,4.81958741,7.6247,7.3313,16.45644668,147998000000,494380000
PSX,Phillips 66,106.46,50316429042.7319,4.97456216,0.32344992,21.9186,2.9657,6.79786576,57979700000,472632000
COST,Costco Wholesale Corporation,502.91,223155772491.05597,38.04070958,0.96840213,13.2594,13.1398,21.67574048,230166000000,443729000
LLY,Eli Lilly and Company,340.36,335977580159.1731,51.37948125,10.57439354,6.6754,6.1224,34.55025215,305486000000,987124000
CAT,"Caterpillar, Inc.",262.455,136584043723.52911,19.22082074,2.46505306,13.8493,11.8305,16.5610237,116779000000,520409000
FCX,"Freeport-McMoRan, Inc.",44.195,63169118290.01472,18.88032352,2.72726812,,2.3901,7.6225955,66510000000,1429330000
FDX,FedEx Corporation,184.63,46600083453.99422,14.97053971,0.51846999,12.8533,14.3571,8.24514808,80038300000,252397000
SO,Southern Company (The),67.57,73561624579.8297,21.55035812,2.6419083,3.1751,2.2406,13.4807891,133104000000,1088670000
LMT,Lockheed Martin Corporation,461.09,117715034656.39989,21.17445428,1.79914343,21.7908,21.6629,13.45002473,139759000000,255297000
EQT,EQT Corporation,32.2183,11825597928.511528,7.28088795,1.0733612,4.9713,-3.576,1.74039906,21179900000,367046000
RTX,Raytheon Technologies Corporation,98.35,144580476581.3825,28.4839992,2.19219787,3.5244,3.5,18.57567322,177850000000,1470060000
NVDA,NVIDIA Corporation,193.87,476920185706.0738,86.63745427,17.81563222,2.3817,3.8469,53.31739434,344317000000,2460000000
MDT,Medtronic plc.,82.6,109872874872.6641,25.67067674,3.57038951,3.2316,3.7287,13.98841149,131008000000,1330180000
ZIM,ZIM Integrated Shipping Services Ltd.,18.935,2273097476.2665234,0.37913668,0.16195995,49.3906,39.0159,0.42451135,4364330000,120047000
EPD,Enterprise Products Partners L.P.,25.53,55542299049.48737,11.47193635,1.03841623,2.3197,2.0865,10.0365966,82298200000,2175570000
DELL,Dell Technologies Inc.,39.945,28605745773.912056,16.91281363,0.28695477,2.4524,7.024,6.11965259,52147900000,716128750
SWN,Southwestern Energy Company,5.44,6003467594.762591,4.06462461,0.42457458,1.3806,-0.0317,1.33149261,11838600000,1103580000
DOW,Dow Inc.,57.84,40705437444.14041,9.44744389,0.73891269,6.2947,6.28,6.58760344,49223100000,703759000
KR,Kroger Company (The),44.13,31589219885.701668,14.10368793,0.2226605,3.2368,2.1737,6.14483476,51696600000,715822000
HON,Honeywell International Inc.,206.26,138673193760.78903,26.62428204,4.04950465,7.8904,7.9126,18.42399173,124085000000,672322000
AMAT,"Applied Materials, Inc.",109,92011234985.22668,15.12605042,3.76240997,7.487,7.4401,12.08338142,80317500000,844140000
TECK,Teck Resources Ltd,41.44,21235350123.56686,6.62558041,1.44567084,6.1175316,4.19666292,3.66843436,21806622800,512299999.99999994
FANG,"Diamondback Energy, Inc.",146.2,25730993676.509003,6.14888313,2.73260318,24.6152,12.3027,4.14106515,27047200000,175999000
CHK,Chesapeake Energy Corporation,86.3925,11574102117.99398,4.3333152,0.91884545,22.8798,53.6647,1.84555084,16222000000,133971000
LUMN,"Lumen Technologies, Inc.",5.205,5385003245.727789,2.64897346,0.29041829,2.0087,1.9057,4.0496053,32784900000,1034579999.9999998
LYB,LyondellBasell Industries NV,94.401,30739274751.20939,7.41243551,0.58944762,12.9232,16.7545,5.64045262,36088600000,325624000
DHI,"D.R. Horton, Inc.",95.49,32790628998.002796,5.98462302,0.99401763,16.2545,16.5093,4.86076487,34447500000,343393000
TGT,Target Corporation,169.105,77840735082.09447,23.07155179,0.71684288,7.3609,14.0978,12.7320306,95847000000,460310000
SBUX,Starbucks Corporation,108.2,124191961458.94334,38.47945786,3.89863349,2.8456,2.8326,19.95577365,117739000000,1147800000
KMI,"Kinder Morgan, Inc.",18.15,40796515938.26367,16.604378,2.0985382,1.1238,1.12,10.47736569,73058800000,2247740000
D,"Dominion Energy, Inc.",62.665,52217191516.80424,22.49153641,3.112228,2.801,3.9827,13.75212152,103019000000,833275000
CTRA,Coterra Energy Inc.,24.855,19597355830.684765,5.14795545,2.19021631,4.943,2.2917,3.09604731,22726600000,788467000
ADBE,Adobe Inc.,364.37,166808577707.29224,36.69851012,9.90998508,10.1235,10.0977,24.51523088,157690000000,457800000
PCG,Pacific Gas & Electric Co.,15.955,31713753614.248135,19.107674,1.58841715,0.8856,-0.0514,12.3427821,78498000000,1987700000
REGN,"Regeneron Pharmaceuticals, Inc.",736.51,80193999079.58177,15.6596256,6.1115975,50.3088,71.9724,11.30443466,73383900000,108884000
NKE,"Nike, Inc.",126.66,196407324735.7252,36.01423287,4.0796731,3.59,3.7534,29.50937096,174381000000,1550670000
SLB,Schlumberger N.V.,56.61,80272629289.27489,23.7989807,2.91562819,2.429,2.39,13.49333141,86421300000,1417990000
AEP,"American Electric Power Company, Inc.",93.14,47861265652.47685,19.31914894,2.60606516,4.8331,4.9585,13.06490898,82387800000,513864000.00000006
APA,APA Corporation,44.3339,14253872304.128542,4.36846831,1.38423225,10.4986,2.5947,3.26634591,17608700000,321512000
MOS,Mosaic Company (The),48.22,16417994134.584126,4.84039693,0.9312805,10.3345,4.2731,3.21745387,20599600000,340481000
LRCX,Lam Research Corporation,480.895,65584147582.9828,12.98130819,3.46156353,37.3122,32.748,10.44543279,56603500000,136379000
CF,"CF Industries Holdings, Inc.",82.76,16236640761.731827,5.4531611,1.50123871,15.3108,4.2414,3.18522869,23043600000,196189000
FISV,"Fiserv, Inc.",106.39,67560635668.65669,33.44430137,3.95588608,3.2139,1.9863,14.31243175,81651600000,635028000
EXC,Exelon Corporation,41.885,41622882483.47602,19.25635104,1.78878134,2.1662,1.7408,12.82961021,74520900000,993742000
CAR,"Avis Budget Group, Inc.",192.225,7970881067.05312,3.64269599,0.79158862,54.8706,19.4402,4.538326,26505500000,41466400
NSC,Norfolk Southern Corporation,239.09,54530789747.83167,17.19381106,4.32275143,,13.8795,11.42681525,71575100000,231514000
AMD,"Advanced Micro Devices, Inc.",73.12,117895478890.23872,45.17675255,5.36731207,1.6877,2.5728,20.24708752,107734000000,1612360000
MMM,3M Company,112.95,62432312805.1796,11.35971613,1.86162976,10.1711,10.18,13.10328348,78610800000,552743000
ADI,"Analog Devices, Inc.",169.165,86155046745.20013,32.41063975,7.33370343,5.3091,5.2536,15.87200788,80191800000,509296000
HES,Hess Corporation,152.495,47015500388.84161,21.75789899,4.21768223,,7.1802,9.59000842,50999700000,308308000
MPLX,MPLX LP,34.53,34641976507.68551,9.22152837,3.12851625,3.7806,2.8588,10.02465039,52317100000,1003240000
DAL,"Delta Air Lines, Inc.",38.565,24727428598.7591,18.93702327,0.49080562,2.0635,2.06,8.3499601,45001300000,641188000
BIP,Brookfield Infrastructure Partners LP Limited Partnership,34.8,20439075047.46727,51.00145138,1.15207663,0.689,1.0988,12.45352847,64336800000,458272000
MMC,"Marsh & McLennan Companies, Inc.",172,85313634866.34521,28.54229194,4.14721218,6.0953,6.04,17.8468188,94935500000,496009000
MRO,Marathon Oil Corporation,27.32,17350052243.88838,5.43691185,2.48067805,5.2194,1.2005,3.86982576,18308800000,635068000
WM,"Waste Management, Inc.",153.34,62942555898.54871,28.35036225,3.25221558,5.4124,4.2942,14.028764,80259000000,410477000
URI,"United Rentals, Inc.",433.38,30059061570.07658,14.58449526,2.6026011,29.8759,29.6592,7.7491846,36925300000,69359600
STLD,"Steel Dynamics, Inc.",119.5,20980783684.60439,5.71781595,0.93971735,20.9385,20.92,3.98188764,17964000000,175571000
TJX,"TJX Companies, Inc. (The)",81.54,94219807720.37856,28.55299861,1.94837994,,2.7006,19.15904848,94248100000,1155500000
GOLD,Barrick Gold Corporation,19.435,34244470698.29457,19.33370167,3.13570797,0.97905074,1.126605,8.52576596,35591446220,1762000000
SCCO,Southern Copper Corporation,74.735,57777518619.10761,22.44357508,5.73635231,3.323,4.3941,11.6568693,39962200000,773098000
TSN,"Tyson Foods, Inc.",64.13,22498417025.629036,7.23318549,0.43663676,9.163,9.0955,5.73984218,31232200000,350825319.5
SRE,DBA Sempra,161.58,50789987149.60464,22.72095472,3.37973962,7.1451,4.0059,14.83699991,76393100000,314333000
KHC,The Kraft Heinz Company,40.18,49217692760.37037,40.35997559,1.89900628,0.9921,0.8188,12.63455742,61159200000,1224930000
BKNG,Booking Holdings Inc. Common Stock,2446,94878840364.4278,40.46688199,6.10220798,61.2038,28.166,17.85604765,65495800000,38789400
CRM,"Salesforce, Inc.",165.525,165525004298.09625,592.86486486,5.43077837,0.2787,1.4826,31.31947646,165316000000,1000000000
FIS,"Fidelity National Information Services, Inc.",74.36,44123697388.11417,49.13894325,3.15629944,1.5417,0.6715,11.6275654,63042000000,593379000
AER,AerCap Holdings N.V.,63.065,15506392343.249687,,2.40341985,-4.6664,6.7145,11.70943795,56553500000,245880000
MDLZ,"Mondelez International, Inc.",64.465,88034600214.2134,28.77595483,2.93013165,2.2623,3.0432,20.51937023,95631600000,1365620000
EIX,Edison International,68.33,26093497085.990402,36.43205427,1.58806653,1.8943,1.9974,11.69400979,57119600000,381875000
HPQ,HP Inc.,28.885,28369281363.826206,9.69968475,0.46970566,3.0478,3.0505,7.2053905,36713800000,982146000
VST,Vistra Corp.,22.51,8957933117.192764,,0.55607101,-0.9538,-2.6855,4.47389083,23117100000,397954000
VTRS,Viatris Inc.,11.91,14443073649.10597,18.02334394,0.87023872,0.6628,-1.0499,6.45066247,29649900000,1212680000
OVV,Ovintiv Inc. (DE),49.455,12277799829.226229,3.64105911,1.0496714,14.3518,5.3153,3.31790894,16294200000,248262000
AR,Antero Resources Corporation,28.46,8541883399.075819,4.75286097,1.0690575,6.6705,-0.6065,2.65379157,14927300000,300136000
NEM,Newmont Corporation,52.92,42004655443.006,42.28054873,3.49142575,1.2628,1.4557,8.68549437,35908900000,793739000
X,United States Steel Corporation,28.52,6681350041.978496,2.40131935,0.34185665,13.2157,14.8835,1.46723021,5638700000,234269000
GD,General Dynamics Corporation,229.62,63041938474.04378,18.65069605,1.6002291,12.3208,12.19,14.34409208,78030100000,274549000
ACI,"Albertsons Companies, Inc.",21.14,11325068854.859837,9.31510462,0.14866766,2.4346,2.7014,4.56419292,22658000000,535717000
XEL,Xcel Energy Inc.,68.07,37251203799.4384,21.56906008,2.45430653,3.1726,3.1737,12.54056719,,547249000
NOC,Northrop Grumman Corporation,440.1,67358789505.1162,13.88615668,1.84735602,31.7086,31.4653,16.06449701,96719700000,153053000
UAL,"United Airlines Holdings, Inc.",48.475,15847827692.389185,22.46139664,0.35814463,,2.2327,7.20681011,33297100000,326928000
ED,"Consolidated Edison, Inc.",95.26,33804236776.6935,19.91272056,2.23639228,4.7816,3.8523,12.14393876,56578000000,354863000
NXPI,NXP Semiconductors N.V.,180.64,46810118869.16647,18.08311419,3.71594074,10.1299,6.7877,11.22571082,46728600000,259135000
BDX,"Becton, Dickinson and Company",250.68,71260298009.23994,42.03866315,3.71831537,6.0319,5.8776,17.86167629,79259300000,284268000
PYPL,"PayPal Holdings, Inc.",80.3659,91619354986.4896,41.61411717,3.5405299,1.9786,3.5152,19.32915348,99693000000,1140030000
WMB,"Williams Companies, Inc. (The)",31.19,38000020002.17233,19.22983034,3.42431263,1.6422,1.2428,13.15750129,60173400000,1218340000
ICE,Intercontinental Exchange Inc.,107.09,59815296024.87809,23.90009521,6.53897731,4.5405,7.1823,14.85623622,61628300000,558552000
CARR,Carrier Global Corporation,43.69,36536262930.78885,10.54056013,1.82701012,4.2308,1.869,9.22107249,37180100000,836262000
WLK,Westlake Corporation,119.44,15233091883.171099,5.884877,0.97103343,20.6502,15.5791,4.17950942,15269500000,127538000
KLAC,KLA Corporation,390.75,55376433938.80236,16.41835837,5.42774206,24.4606,21.9182,12.95547434,56885400000,141718000
ADP,"Automatic Data Processing, Inc.",222.125,92143623973.42902,29.34726265,5.32822487,7.566,7.0028,20.32053921,101391000000,414828000
EMR,Emerson Electric Company,89.96,53202346378.01006,16.50761421,2.70827441,5.4478,5.4184,14.82272525,58543300000,591400000
TX,Ternium S.A. Ternium S.A.,39.505,7901384925,,,13.7335,19.4057,1.84468783,,196307700
ADM,Archer-Daniels-Midland Company,82.22,45166258785.23067,10.85779572,0.45477409,,7.7087,12.19858254,59581900000,549334000
HPE,Hewlett Packard Enterprise Company,16.035,20553933126.166355,24.83458994,0.74418102,0.6635,0.6566,6.65638958,27259900000,1281820000
SYK,Stryker Corporation,250.155,94666138867.41144,39.54476149,5.40684789,6.5003,5.2158,24.41460069,89056800000,378430000
PCAR,PACCAR Inc.,109.04,37920572450.02694,12.81596812,1.33967694,8.6431,8.63,10.0270655,,347768000
BLDR,"Builders FirstSource, Inc.",77.5,11406117404.435535,4.73142885,0.52607292,16.4915,8.48,3.42958143,12824700000,147176000
WBD,"Warner Bros. Discovery, Inc. - Series A",14.4199,35017227065.50147,,1.39247173,-1.6632,1.5299,20.58955301,80435000000,2428400000
CL,Colgate-Palmolive Company,72.845,60841173273.69946,33.70686002,3.32468949,2.1311,2.13,15.84316439,74138400000,835214000
MCK,McKesson Corporation,379.22,53770928078.84225,26.87398567,0.20087241,14.2508,7.2291,14.0148546,53789300000,141793000
CLF,Cleveland-Cliffs Inc.,21.2384,10944200833.099277,4.67803358,0.48176463,4.757,5.3548,3.79645795,11669900000,515302000
SPGI,S&P Global Inc.,367.86,119848788210.83063,31.21989967,11.95961194,12.0089,12.5062,32.46499813,114379000000,325800000
PBF,PBF Energy Inc.,41.94,5848956178.194579,2.24489478,0.12355769,19.776,1.8983,1.78924494,5861360000,139460000
VRTX,Vertex Pharmaceuticals Incorporated,320.53,82277319133.13039,25.37055453,9.74380145,12.8071,9.0115,17.95422602,66184000000,256690999.99999997
ITW,Illinois Tool Works Inc.,230.5956,70835824935.19032,26.3315906,4.56767896,8.7907,8.5145,19.17435964,62802300000,307186000
ETN,"Eaton Corporation, PLC",161.39,64184807143.17892,28.41032466,3.22050342,5.7438,5.3386,18.23241185,62356000000,397700000
EL,"Estee Lauder Companies, Inc. (The)",271.445,96854924124.063,45.1000966,5.67258903,6.0822,6.5497,25.61155501,83390300000,356812029
HTZ,"Hertz Global Holdings, Inc",17.285,5772362785.350598,9.6110716,0.77439586,3.5288,-0.2667,4.80920211,19294100000,142122000
ATUS,"Altice USA, Inc.",4.7646,2166330583.526474,3.43825323,0.22439092,1.4106,2.1422,6.90600105,27704700000,454668677
DG,Dollar General Corporation,234.215,52364571585.58913,22.9487005,1.46829211,10.3439,10.1743,17.69955623,74855600000,223575000
AON,Aon plc,317.55,65686147249.20498,24.78767836,5.46167672,12.9701,5.5506,19.84140827,67826200000,206853000
SHW,Sherwin-Williams Company (The),232.005,60122570317.63258,29.60094292,2.68689714,7.8305,7.72,18.46653029,74109800000,259142999.99999997
DINO,HF Sinclair Corporation,56.2575,11292597598.089844,5.40458479,0.34715526,10.5392,3.3885,3.74785659,14492000000,200731000
AAL,"American Airlines Group, Inc.",15.985,10388665742.508522,562.67123288,0.24023994,0.1906,0.19,11.18519991,42835400000,649901000
BX,Blackstone Inc.,95.41,114293175999.76102,40.47629101,5.43346324,2.3697,2.3587,35.63538482,76096500000,1197916218
ES,Eversource Energy (D/B/A),81.35,28334808134.76958,20.13833599,2.39729959,4.0253,3.5416,13.17557847,49079100000,348307000
GPN,Global Payments Inc.,110.71,29936111468.25845,503.16964286,3.48166176,0.2284,3.2876,11.32448272,41735400000,270401000
ETR,Entergy Corporation,108.18,22012861919.255447,17.64514925,1.68301443,6.1876,5.5406,13.09245105,47507100000,203484000
OMF,"OneMain Holdings, Inc.",42.34,5174451685.352421,5.67181126,1.0441597,7.6209,9.8756,6.01911002,20830700000,122212000
RSG,"Republic Services, Inc.",124.57,39364237363.34639,27.03558175,3.03609708,4.5899,4.0398,13.69320857,54991800000,316001000
APD,"Air Products and Chemicals, Inc.",313.74,69608227070.3807,31.15949216,5.50406909,10.1058,10.0832,20.37147669,57366000000,221866000
AZO,"AutoZone, Inc.",2423.6,46003386338.92426,19.86238324,2.80930574,123.1164,117.1854,14.65400176,57460100000,18981400
OKE,"ONEOK, Inc.",67.52,30178323508.72685,18.93399184,1.29524986,3.6121,3.3496,12.05238644,36803500000,446954000
HAL,Halliburton Company,40.67,36930261858.4768,23.43551186,1.81668227,1.7363,1.73,11.90569094,42434500000,908047000
MCHP,Microchip Technology Incorporated,76.09,41850159636.04275,23.69448511,5.6776519,3.3303,2.2716,13.73608498,41101800000,550009000
TEL,TE Connectivity Ltd. New Switzerland Registered Shares,125.355,39766436402.78222,17.91738136,2.45256685,7.0396,7.4708,12.01493351,40182200000,317231000
CTSH,Cognizant Technology Solutions Corporation,65.5161,33670128493.670105,14.62953068,1.75421202,4.5002,4.0474,9.09463069,28485500000,513921000.00000006
STZ,"Constellation Brands, Inc.",228.54,42176057321.54867,2325.10162602,4.51464293,0.3324,-0.2122,15.28494779,60857100000,184545416.5
NTES,"NetEase, Inc.",90.205,57490655287.38277,18.04844427,4.13836646,5.1328,3.8808,13.05921885,37702300000,622302800
ABC,AmerisourceBergen Corporation,165.345,34006279538.916206,20.43341341,0.14446385,8.143,8.0433,10.49442323,30866500000,205669000
SYY,Sysco Corporation,77.965,39510129160.48408,27.59023768,0.55750573,2.8404,2.6435,14.69658571,47224800000,506768000
TRGP,"Targa Resources, Inc.",73.89,16726877725.470737,72.88643838,0.76374069,1.0759,-0.0704,8.80399041,27122000000,226375000
DTE,DTE Energy Company,114.59,23563047080.2759,19.65088921,1.13877629,5.8022,4.665,12.59621954,42217700000,205629000
INTU,Intuit Inc.,417.62,117320044983.2141,64.39040741,9.01352358,6.6588,7.2746,36.00398245,126287000000,280925000
AES,The AES Corporation,26.52,17714027398.02447,,1.55545668,-0.4131,-0.6201,12.18926314,39826600000,667950000
KDP,Keurig Dr Pepper Inc.,34.8,49285543564.18443,27.15604946,3.62944962,1.2879,1.5029,18.00612546,63469300000,1416250000
KMB,Kimberly-Clark Corporation,128.82,43475731182.88427,22.55265552,2.16304436,5.7304,5.7168,15.21109885,54357400000,337492000
DD,"DuPont de Nemours, Inc.",72.54,36037071234.34263,20.25278114,2.59478426,3.6405,11.8835,13.94209342,36154200000,496789000
MAR,Marriott International,172.545,54617327894.9685,26.60145878,2.94254151,6.5842,3.3374,19.00569653,55023600000,316540000
LH,Laboratory Corporation of America Holdings,252.025,22329414883.05564,13.57251126,1.51159732,18.8739,24.3826,8.37072564,24456400000,88600000
CCEP,Coca-Cola Europacific Partners plc,55.31,25265013244.311127,15.88477841,1.39022653,3.4716,2.5398,10.81486722,,456789000
